N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC
1,CXOGlb J002331.5-720515,X,00 23 31.542,-72 05 15.58
2,CXOGlb J002336.3-720403,X,00 23 36.359,-72 04 02.97
3,CXOGlb J002339.0-720348,X,00 23 39.051,-72 03 48.12
4,CXOGlb J002339.1-720604,X,00 23 39.185,-72 06 04.72
5,CXOGlb J002341.1-720511,X,00 23 41.141,-72 05 11.77
6,CXOGlb J002341.3-720402,X,00 23 41.305,-72 04 02.79
7,CXOGlb J002342.6-720359,X,00 23 42.634,-72 03 58.96
8,CXOGlb J002344.2-720646,X,00 23 44.198,-72 06 46.45
9,CXOGlb J002344.8-720602,X,00 23 44.835,-72 06 02.01
10,CXOGlb J002345.9-720458,X,00 23 46.1308274400,-72 05 00.306007548
11,CXOGlb J002346.3-720401,X,00 23 46.329,-72 04 01.93
12,CXOGlb J002347.9-720607,X,00 23 47.912,-72 06 07.53
13,CXOGlb J002348.9-720719,X,00 23 48.966,-72 07 18.99
14,CXOGlb J002349.2-720537,X,00 23 49.235,-72 05 37.46
15,CXOGlb J002349.2-720351,X,00 23 49.268,-72 03 51.44
16,CXOGlb J002350.0-720239,X,00 23 49.992,-72 02 39.19
17,PSR J0024-7204C,Psr,00 23 50.371,-72 04 31.44
18,CXOGlb J002350.4-720530,X,00 23 50.460,-72 05 30.03
19,CXOGlb J002350.6-720541,X,00 23 50.806,-72 05 41.51
20,CXOGlb J002352.2-720723,X,00 23 51.81,-72 07 23.4
21,CXOGlb J002351.8-720411,X,00 23 51.822,-72 04 11.46
22,CXOGlb J002351.9-720453,X,00 23 51.916,-72 04 53.85
23,CXOGlb J002351.9-720343,X,00 23 51.989,-72 03 43.82
24,CXOGlb J002351.9-720429,X,00 23 51.996,-72 04 29.31
25,[GHE2001] W335,X,00 23 52.015,-72 04 36.70
26,CXOGlb J002352.3-720311,X,00 23 52.330,-72 03 11.34
27,CXOGlb J002352.4-720533,X,00 23 52.544,-72 05 32.99
28,CXOGlb J002353.3-720707,X,00 23 53.391,-72 07 07.82
29,CXOGlb J002353.4-720511,X,00 23 53.548,-72 05 11.20
30,CXOGlb J002353.9-720350,X,00 23 53.982,-72 03 50.07
31,[GHE2001] W332,X,00 23 54.001,-72 04 15.59
32,PSR J0024-7204M,Psr,00 23 54.489,-72 05 30.83
33,CXOGlb J002354.5-720355,X,00 23 54.571,-72 03 55.39
34,CXOGlb J002354.5-720607,X,00 23 54.587,-72 06 07.84
35,CXOGlb J002354.6-720445,X,00 23 54.697,-72 04 45.68
36,CXOGlb J002354.9-720433,X,00 23 54.982,-72 04 33.76
37,CXOGlb J002356.3-720437,X,00 23 56.315,-72 04 37.37
38,CXOGlb J002356.7-720450,X,00 23 56.731,-72 04 50.04
39,CXOGlb J002356.8-720504,X,00 23 56.796,-72 05 04.33
40,CXOGlb J002356.9-720341,X,00 23 56.915,-72 03 41.08
41,CXOGlb J002356.9-720224,X,00 23 56.977,-72 02 24.83
42,CXOGlb J002357.6-720542,X,00 23 57.687,-72 05 42.98
43,CXOGlb J002357.6-720502,XB*,00 23 57.699,-72 05 01.93
44,CXOGlb J002357.7-720506,X,00 23 57.706,-72 05 06.30
45,CXOGlb J002357.7-720414,X,00 23 57.742,-72 04 14.30
46,CXOGlb J002357.8-720452,X,00 23 57.884,-72 04 52.76
47,CXOGlb J002357.9-720513,X,00 23 57.895,-72 05 13.06
48,CXOGlb J002358.2-720538,X,00 23 58.250,-72 05 38.48
49,CXOGlb J002358.6-720225,X,00 23 58.597,-72 02 25.64
50,CXOGlb J002358.6-720436,X,00 23 58.639,-72 04 36.08
51,CXOGlb J002358.7-720447,X,00 23 58.770,-72 04 47.45
52,CXOGlb J002358.8-720423,X,00 23 58.846,-72 04 23.34
53,CXOGlb J002358.8-720509,X,00 23 58.988,-72 05 09.70
54,CXOGlb J002359.3-720648,X,00 23 59.356,-72 06 48.70
55,CXOGlb J002359.4-720358,Psr,00 23 59.392,-72 03 58.81
56,CXOGlb J002359.3-720459,X,00 23 59.393,-72 04 59.19
57,CXOGlb J002359.3-720438,CV*,00 23 59.404,-72 04 38.46
58,CXOGlb J002359.3-720448,X,00 23 59.434,-72 04 47.79
59,CXOGlb J002359.6-720443,X,00 23 59.625,-72 04 43.03
60,CXOGlb J002359.9-720504,X,00 23 59.877,-72 05 04.65
61,CXOGlb J002359.9-720531,X,00 23 59.974,-72 05 31.93
62,CXOGlb J002359.9-720513,X,00 24 00.043,-72 05 12.85
63,CXOGlb J002400.2-720403,X,00 24 00.199,-72 04 03.86
64,CXOGlb J002400.4-720448,X,00 24 00.395,-72 04 47.99
65,CXOGlb J002400.4-720427,X,00 24 00.411,-72 04 27.00
66,CXOGlb J002400.3-720546,X,00 24 00.424,-72 05 46.55
67,CXOGlb J002400.5-720516,X,00 24 00.548,-72 05 16.88
68,CXOGlb J002400.6-720412,X,00 24 00.661,-72 04 12.44
69,CXOGlb J002400.7-720542,X,00 24 00.759,-72 05 42.66
70,CXOGlb J002400.9-720453,LXB,00 24 00.968,-72 04 53.18
71,CXOGlb J002400.9-720414,X,00 24 00.977,-72 04 13.70
72,2MASS J00240102-7205542,XB*,00 24 01.03,-72 05 54.3
73,CXOGlb J002401.1-720530,X,00 24 01.109,-72 05 30.28
74,CXOGlb J002401.2-720650,X,00 24 01.276,-72 06 49.99
75,CXOGlb J002401.3-720448,X,00 24 01.312,-72 04 48.19
76,CXOGlb J002401.3-720445,X,00 24 01.364,-72 04 45.63
