angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,name,ra,dec,class,prob,prob_margin,gal_l,gal_b,var_flag,b-csc,h-csc,m-csc,s-csc,u-csc,hard_hm,hard_hs,hard_ms,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,W4mag,fuv_mag,nuv_mag,g_mag,bp_mag,rp_mag,bp-R,g-J,g-W2,bp-H,bp-W3,rp-K,J-H,J-W1,W1-W2,r
0.849916,6.02312874336,-72.08127489998,0.0002195,0.0002035,141.06,4689639266848574080,6.02312874336,0.2099,-72.08127489998,0.2133,,,,,,,,,67,58.8780,5730.55,0.894,3.183e+02,3,,,7,,0,1.04710e+05,9.29584e+02,13.137397,1.73787e+05,2.40357e+03,12.238500,2.63634e+05,11.195391,4.177,1.043109,,,0,,,,,,,0.010025,0.015273,0.044295,13.137397,0.010025,1.04710e+05,2.957,0.2099,0.2133,-0.0738,2CXO J002405.7-720452,6.0238955683814766,-72.08126619783637,PULSAR,0.9994695938581579,0.999072409780492,305.894692,-44.889361,0,7.634459893165301E-17,1.4728679310912E-16,,2.0573840060799E-16,,-0.4172392254840701,-0.7207995003123,-0.40849469081823997,,,,,0.0,3.3164267998486707E-7,1.0093053874383E-7,,,,,,,,,,,,,,9.6463,13.137397,12.2385,11.195391,1.0431089999999994,,,,,,,,,0.3025681208768671
1.960859,6.02662448109,-72.08199713192,0.0672630,0.0003462,36.74,4689639266848627712,6.02662448109,40.2373,-72.08199713192,53.9018,,,,,,,,,27,23.5710,833.69,0.772,1.223e+02,3,,,4,,0,1.24068e+05,1.28158e+03,12.953218,1.70821e+05,9.22307e+03,12.257187,2.62334e+05,11.200761,3.491,1.056426,,,0,,,,,,,0.011549,0.058688,0.016160,12.953218,0.011549,1.24068e+05,2.269,40.2373,53.9018,0.9999,2CXO J002406.0-720456,6.02511679169112,-72.08228266126895,CV,0.9952214470111811,0.9927944470760739,305.8939529999999,-44.888412,0,2.6794321303848E-14,1.5045946196933998E-14,6.178883846526399E-15,6.459003784674201E-15,3.2535579420170995E-15,-0.04497189256714599,-0.28981886321049,-0.24734540911929997,0.0,0.48347378133106,0.948255685432682,0.94738018593194,8.0,1.0,6.2111057273429E-6,,,,,,,,,,,,,,,12.953218,12.257187,11.200761,1.056426,,,,,,,,,3.9770441335584517
1.991025,6.02516005187,-72.08431842512,0.0044180,0.0040257,30.81,4689639266845737344,6.02520377392,0.2230,-72.08433754478,0.2534,1.4827,0.2922,5.0747,5.260,3.026,0.254,-4.302,0.280,77,51.7943,12288.77,1.137,7.797e+02,95,1.5671,0.0576,10,7.686,0,2.79036e+05,4.88635e+03,12.073218,2.54411e+05,5.45470e+03,11.824702,4.60227e+05,10.590465,2.561,1.234238,,,0,,,,,,,0.019212,0.023445,0.014032,12.073218,0.019212,2.79036e+05,1.321,4.1322,4.3185,0.0817,2CXO J002406.0-720501,6.025250184878927,-72.08376605806328,PULSAR,0.9998445569161803,0.9997038726248055,305.8935830000001,-44.886951,1,9.585382661059902E-16,0.0,2.9913984868907005E-16,7.70358842215E-16,4.6624043418401E-16,-0.7070580886945699,-0.9119300437226701,-0.55590256089944,6.0,0.9277018908090899,0.9977037257017036,0.9974755204456516,3.0,0.39838965826623,1.9936815472337E-6,,,,,,,,,,,,,,,12.073218,11.824702,10.590465,1.2342370000000003,,,,,,,,,9.136855211094028
2.655282,6.02299709659,-72.08351383806,0.0194473,0.0065815,125.79,4689639266848575872,6.02299709659,16.2383,-72.08351383806,12.5631,,,,,,,,,32,184.9385,151497.77,14.061,1.080e+04,3,,,5,,0,1.70795e+05,3.57957e+02,12.606176,,,,,,,,,,0,,,,,,,0.003573,,,12.606176,0.003573,1.70795e+05,,16.2383,12.5631,-0.7787,2CXO J002406.0-720501,6.025250184878927,-72.08376605806328,PULSAR,0.9998445569161803,0.9997038726248055,305.8935830000001,-44.886951,1,9.585382661059902E-16,0.0,2.9913984868907005E-16,7.70358842215E-16,4.6624043418401E-16,-0.7070580886945699,-0.9119300437226701,-0.55590256089944,6.0,0.9277018908090899,0.9977037257017036,0.9974755204456516,3.0,0.39838965826623,1.9936815472337E-6,,,,,,,,,,,,,,,12.073218,11.824702,10.590465,1.2342370000000003,,,,,,,,,9.136855211094028
0.318924,6.02999053569,-72.07958042196,0.0329543,0.0215123,36.90,4689639266844725888,6.02999053569,26.2195,-72.07958042196,29.3480,,,,,,,,,82,1416.0558,35248724.00,144.592,2.564e+06,3,,,9,,0,5.72205e+04,1.09505e+03,13.793488,1.22935e+05,3.98803e+03,12.614349,1.65329e+05,11.702021,5.038,0.912329,,,0,,,,,,,0.020960,0.035332,0.013927,13.793488,0.020960,5.72205e+04,3.829,26.2195,29.3480,0.3889,2CXO J002407.2-720446,6.0302763774103605,-72.07959103324293,PULSAR,0.9064513618490426,0.8473093085765152,305.89230499999996,-44.89131,0,2.2337696581455E-16,,,,,-0.99937539038101,-0.99937539038101,-0.41848844472205,0.0,0.42562388316887,0.54903215319042,0.19147883173548005,0.0,0.20324624978747,5.5230323971573E-7,,,,,,,,,,,,,,,13.793488,12.614349,11.702021,0.9123280000000005,,,,,,,,,9.547329290793272
2.810506,6.02804060954,-72.07922195161,0.0603828,0.0001409,148.24,4689639473007045632,6.02804060954,31.7856,-72.07922195161,51.3399,,,,,,,,,29,16.6764,419.60,0.662,4.979e+01,3,,,5,,0,6.10528e+04,4.38643e+02,13.723104,,,,,,,,,,0,,,,,,,0.008273,,,13.723104,0.008273,6.10528e+04,,31.7856,51.3399,-1.0000,2CXO J002407.2-720446,6.0302763774103605,-72.07959103324293,PULSAR,0.9064513618490426,0.8473093085765152,305.89230499999996,-44.89131,0,2.2337696581455E-16,,,,,-0.99937539038101,-0.99937539038101,-0.41848844472205,0.0,0.42562388316887,0.54903215319042,0.19147883173548005,0.0,0.20324624978747,5.5230323971573E-7,,,,,,,,,,,,,,,13.793488,12.614349,11.702021,0.9123280000000005,,,,,,,,,9.547329290793272
2.334159,6.02622666117,-72.07926703856,0.0007585,0.0006447,176.77,4689639473003156224,6.02630135098,0.0362,-72.07927524167,0.0390,0.1759,0.0433,4.0610,5.491,5.171,0.040,-1.846,0.048,248,12.0854,3321.89,0.359,1.260e+02,95,1.3323,0.0094,23,1.595,0,6.60139e+05,1.54513e+03,11.138279,3.04240e+05,3.47681e+03,11.630501,8.31865e+05,9.947763,1.721,1.682738,,,0,,,,,,,0.003748,0.012717,0.007353,11.138279,0.003748,6.60139e+05,0.428,0.6451,0.7582,-0.0184,2CXO J002406.4-720443,6.026675631401758,-72.07863355014037,CV,0.9993920092774292,0.9990167743846388,305.894054,-44.892091,1,4.5038592308440996E-14,1.8101528619002E-14,6.7056722334569995E-15,1.9525449838507998E-14,4.9631162586499E-14,-0.011242973141786005,-0.59337913803873,-0.58588382261087,10.0,1.0,1.0,1.0,8.0,1.0,3.2170119064637E-5,,,,,,,,,,,,,,,11.138279,11.630501,9.947763,1.6827380000000005,,,,,,,,,10.101191033924914
2.349030,6.02551658768,-72.07808714061,0.0002834,0.0000875,145.98,4689639473004367232,6.02551658768,0.1743,-72.07808714061,0.2399,,,,,,,,,53,15.0690,396.04,0.415,3.755e+01,3,,,5,,0,6.88624e+04,3.52968e+02,13.592412,,,,,,,,,,0,,,,,,,0.006210,,,13.592412,0.006210,6.88624e+04,,0.1743,0.2399,-0.8054,2CXO J002406.4-720443,6.026675631401758,-72.07863355014037,CV,0.9993920092774292,0.9990167743846388,305.894054,-44.892091,1,4.5038592308440996E-14,1.8101528619002E-14,6.7056722334569995E-15,1.9525449838507998E-14,4.9631162586499E-14,-0.011242973141786005,-0.59337913803873,-0.58588382261087,10.0,1.0,1.0,1.0,8.0,1.0,3.2170119064637E-5,,,,,,,,,,,,,,,11.138279,11.630501,9.947763,1.6827380000000005,,,,,,,,,10.101191033924914
2.602546,6.02804060954,-72.07922195161,0.0603828,0.0001409,148.24,4689639473007045632,6.02804060954,31.7856,-72.07922195161,51.3399,,,,,,,,,29,16.6764,419.60,0.662,4.979e+01,3,,,5,,0,6.10528e+04,4.38643e+02,13.723104,,,,,,,,,,0,,,,,,,0.008273,,,13.723104,0.008273,6.10528e+04,,31.7856,51.3399,-1.0000,2CXO J002406.4-720443,6.026675631401758,-72.07863355014037,CV,0.9993920092774292,0.9990167743846388,305.894054,-44.892091,1,4.5038592308440996E-14,1.8101528619002E-14,6.7056722334569995E-15,1.9525449838507998E-14,4.9631162586499E-14,-0.011242973141786005,-0.59337913803873,-0.58588382261087,10.0,1.0,1.0,1.0,8.0,1.0,3.2170119064637E-5,,,,,,,,,,,,,,,11.138279,11.630501,9.947763,1.6827380000000005,,,,,,,,,10.101191033924914
2.652028,6.02434753969,-72.07880528480,0.0004530,0.0002401,128.75,4689639472993822592,6.02434753969,0.3839,-72.07880528480,0.3398,,,,,,,,,69,84.8803,13811.21,1.270,9.544e+02,3,,,8,,0,2.22659e+05,1.24444e+03,12.318268,2.48844e+05,1.05879e+04,11.848725,4.80317e+05,10.544076,3.275,1.304649,,,0,,,,,,,0.006664,0.046281,0.010146,12.318268,0.006664,2.22659e+05,2.027,0.3839,0.3398,-0.5522,2CXO J002406.4-720443,6.026675631401758,-72.07863355014037,CV,0.9993920092774292,0.9990167743846388,305.894054,-44.892091,1,4.5038592308440996E-14,1.8101528619002E-14,6.7056722334569995E-15,1.9525449838507998E-14,4.9631162586499E-14,-0.011242973141786005,-0.59337913803873,-0.58588382261087,10.0,1.0,1.0,1.0,8.0,1.0,3.2170119064637E-5,,,,,,,,,,,,,,,11.138279,11.630501,9.947763,1.6827380000000005,,,,,,,,,10.101191033924914
