angDist,N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC,name,class,prob,prob_margin,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO,gc,ra,dec,significance
0.262870,1,CXOGlb J002331.5-720515,X,00 23 31.542,-72 05 15.58,2CXO J002331.4-720515,PULSAR,0.9945308193456645,0.9895447992978429,3.019237103942586E-5,0.004986020047821531,3.2478547370141146E-5,2.762695819987283E-6,0.9945308193456645,3.827425720978186E-4,2.0616882525812402E-5,1.436753766069928E-5,NGC-104,5.8811886867491685,-72.08765408717264,2.8444444444446506
0.797424,2,CXOGlb J002336.3-720403,X,00 23 36.359,-72 04 02.97,2CXO J002336.2-720403,PULSAR,0.9929989787242588,0.9861633101436691,9.844975244814116E-6,0.006835668580589721,8.988263092859364E-6,1.0189765578328008E-6,0.9929989787242588,1.3320046383408305E-4,6.148404973202327E-6,6.151611448847264E-6,NGC-104,5.9010940489333725,-72.0676754100641,1.6756756756756317
0.211164,4,CXOGlb J002339.1-720604,X,00 23 39.185,-72 06 04.72,2CXO J002339.2-720604,PULSAR,0.7141502735131898,0.5151935229281004,5.660146897248029E-4,0.19895675058508944,0.06945628540448573,1.6664635246077357E-4,0.7141502735131898,0.015719243747604424,6.966480190773136E-4,2.88137688367613E-4,NGC-104,5.913402860077554,-72.10126875350983,5.187499999999903
0.697882,5,CXOGlb J002341.1-720511,X,00 23 41.141,-72 05 11.77,2CXO J002341.0-720512,PULSAR,0.983066675469236,0.9750896836435814,0.0021745984109342075,0.007976991825654608,0.0021890480661703195,4.4576224272028264E-5,0.983066675469236,0.004177730662653996,2.2823471186669928E-4,1.4214462921231428E-4,NGC-104,5.920971691731722,-72.08673877742488,4.37837837837856
0.725046,6,CXOGlb J002341.3-720402,X,00 23 41.305,-72 04 02.79,2CXO J002341.2-720403,PULSAR,0.8955756338441929,0.7994153248365004,4.5929362092581335E-5,0.09616030900769253,9.188738803807319E-4,4.488716305133085E-5,0.8955756338441929,0.007091643844029222,9.016875755955822E-5,7.255414100134253E-5,NGC-104,5.921730101882473,-72.06760688721816,5.54131705430681
0.407413,7,CXOGlb J002342.6-720359,X,00 23 42.634,-72 03 58.96,2CXO J002342.5-720359,PULSAR,0.5875729316570325,0.18480644720906625,0.0012544486903223989,0.40276648444796626,0.0050953479209816955,1.2988768415872487E-4,0.5875729316570325,0.0024040746779978774,5.117362288533712E-4,2.6508869268712366E-4,NGC-104,5.9274069269790175,-72.06646485912209,2.6538461538463323
0.228291,9,CXOGlb J002344.8-720602,X,00 23 44.835,-72 06 02.01,2CXO J002344.8-720602,CV,0.4485342189072362,0.03152138090416945,0.05356300377513701,0.4485342189072362,0.41701283800306677,3.6584043438533487E-4,0.001557244426366792,0.07855797539974428,3.5132776656672147E-4,5.755128749678271E-5,NGC-104,5.936850204242147,-72.10062067970814,10.705708997949005
0.105052,11,CXOGlb J002346.3-720401,X,00 23 46.329,-72 04 01.93,2CXO J002346.3-720401,PULSAR,0.5442580140575543,0.1841634613709518,0.01055477783074322,0.36009455268660245,0.0038866078861673676,2.9132355528820394E-4,0.5442580140575543,0.07962846402468118,6.188889321053553E-4,6.673710268579516E-4,NGC-104,5.9431300977591945,-72.06720899543481,2.8333333333333885
0.320426,13,CXOGlb J002348.9-720719,X,00 23 48.966,-72 07 18.99,2CXO J002348.9-720719,PULSAR,0.9740969751943384,0.950656266648871,1.1314685456044883E-4,0.0234407085454673,1.5649446038932104E-4,1.1531760136595372E-5,0.9740969751943384,0.0020664335584882057,3.5833653578498065E-5,7.887597304120798E-5,NGC-104,5.954129598152464,-72.12202467990949,2.1333333333333067
0.706430,14,CXOGlb J002349.2-720537,X,00 23 49.235,-72 05 37.46,2CXO J002349.2-720538,PULSAR,0.9994242788038891,0.9989241318476373,7.921528266123676E-6,5.001469562517746E-4,2.0155208878108528E-5,9.980119757270803E-7,0.9994242788038891,3.3930294080003515E-5,8.239021749805399E-6,4.330174909398103E-6,NGC-104,5.955210561299964,-72.09393410770001,2.254545454545469
0.212217,15,CXOGlb J002349.2-720351,X,00 23 49.268,-72 03 51.44,2CXO J002349.2-720351,CV,0.9296840227009714,0.8671087038125095,0.0017440373175977998,0.9296840227009714,0.0625753188884619,2.9151557056304482E-5,0.0039107574023616925,3.785959728279934E-4,0.0016339351156266881,4.4181045096120796E-5,NGC-104,5.955347004453587,-72.06434448148964,9.850791489768858
0.156230,17,PSR J0024-7204C,Psr,00 23 50.371,-72 04 31.44,2CXO J002350.3-720431,CV,0.4485342189072362,0.03152138090416945,0.05356300377513701,0.4485342189072362,0.41701283800306677,3.6584043438533487E-4,0.001557244426366792,0.07855797539974428,3.5132776656672147E-4,5.755128749678271E-5,NGC-104,5.959967366004777,-72.07543385972127,5.085714285714215
0.426720,19,CXOGlb J002350.6-720541,X,00 23 50.806,-72 05 41.51,2CXO J002350.7-720541,CV,0.7206461558636897,0.4874031059884259,0.001014401447978947,0.7206461558636897,0.042778941771030574,6.206661171590867E-5,0.23324304987526384,0.0011516558111505184,8.68596189271423E-4,2.3513242989922048E-4,NGC-104,5.961329616962472,-72.09490463760861,7.463049284728007
0.065125,22,CXOGlb J002351.9-720453,X,00 23 51.916,-72 04 53.85,2CXO J002351.9-720453,CV,0.4522405952336415,0.06146062002742769,0.002028759733048104,0.4522405952336415,0.048067243816404266,7.9819075033527E-4,0.3907799752062138,0.10225524096098011,0.0016026800904463078,0.0022273142089306365,NGC-104,5.966309815690522,-72.08164296718356,3.7435897435895757
0.081561,23,CXOGlb J002351.9-720343,X,00 23 51.989,-72 03 43.82,2CXO J002351.9-720343,CV,0.593957485588162,0.38293657690807004,0.019044532974421893,0.593957485588162,0.017791717026175907,4.606986534771574E-4,0.21102090868009193,0.15387134341051845,0.001960519531582355,0.0018927941355703919,NGC-104,5.966617600755569,-72.06219485605553,3.0555555555556437
0.733990,24,CXOGlb J002351.9-720429,X,00 23 51.996,-72 04 29.31,2CXO J002351.9-720430,STAR,0.9999042829545015,0.9998646770021677,2.190375912488952E-6,2.4430765959809866E-5,2.589372767294559E-5,6.306657160869659E-7,3.960595233373624E-5,0.9999042829545015,2.6275937631454758E-6,3.3796414039484136E-7,NGC-104,5.966427139708627,-72.07500033553653,3.696969696969686
0.278266,25,[GHE2001] W335,X,00 23 52.015,-72 04 36.70,2CXO J002352.0-720436,PULSAR,0.7354046841822836,0.48812137228734687,0.0045620733188327664,0.24728331189493669,0.0031966443432738575,1.095345661971809E-4,0.7354046841822836,0.008537093194819453,3.970841730986998E-4,5.095743265578117E-4,NGC-104,5.9667500805827,-72.07693813888784,3.268292682926808
0.060544,26,CXOGlb J002352.3-720311,X,00 23 52.330,-72 03 11.34,2CXO J002352.3-720311,CV,0.6762480490373834,0.4961377797725287,0.010981514812050303,0.6762480490373834,0.05103925892407363,0.0013835135405194288,0.1801102692648547,0.07432329896129207,0.004061963375592143,0.0018521320842343207,NGC-104,5.967987097061268,-72.05314967892983,2.9743589743589216
0.560381,27,CXOGlb J002352.4-720533,X,00 23 52.544,-72 05 32.99,2CXO J002352.4-720533,CV,0.9134735069178694,0.8451433837471699,0.001812559432562346,0.9134735069178694,0.002791805115495413,3.7562916869308385E-5,0.06833012317069953,0.013090283055875401,2.814495129242702E-4,1.8270987770435164E-4,NGC-104,5.9686166256479405,-72.09261866097306,3.0666666666665634
0.450305,28,CXOGlb J002353.3-720707,X,00 23 53.391,-72 07 07.82,2CXO J002353.4-720708,STAR,0.993827944365721,0.9906852208395193,3.3201538576671504E-5,0.0031427235262017385,0.0027778099316106016,1.6213214833458564E-5,1.5508658161745266E-4,0.993827944365721,2.8613504479159858E-5,1.840733696000687E-5,NGC-104,5.972676761226751,-72.11894527593255,4.874999999999867
0.313069,29,CXOGlb J002353.4-720511,X,00 23 53.548,-72 05 11.20,2CXO J002353.5-720511,CV,0.4485342189072362,0.03152138090416945,0.05356300377513701,0.4485342189072362,0.41701283800306677,3.6584043438533487E-4,0.001557244426366792,0.07855797539974428,3.5132776656672147E-4,5.755128749678271E-5,NGC-104,5.9730316375823245,-72.08652738233684,5.19999999999949
