name,g_mag,bp_mag,rp_mag
2CXO J005634.9-732630,18.274762,18.77944,17.504042000000002
2CXO J005835.3-722902,19.90229,19.94,19.749722
2CXO J010214.6-731628,19.821741,19.163559,18.317175
2CXO J010230.7-724148,21.023743,21.092375,20.440282999999997
2CXO J010242.0-723238,18.973757,19.127876,18.707392000000002
2CXO J010413.1-731905,10.314053,10.655217,9.80529
2CXO J010853.2-731439,17.302917,17.858644,16.224926
2CXO J011105.6-730106,9.329436,9.546646,8.960229
2CXO J012125.0-725827,9.325239999999999,9.637839,8.841635
2CXO J164659.8-455525,15.267295,19.261606,13.663251999999998
2CXO J164748.4-454409,9.293877,9.33206,9.135205000000001
2CXO J164753.3-454651,11.228886,11.595516,10.690627000000001
2CXO J164805.6-455643,6.5997710000000005,6.784342,6.266954
2CXO J164818.2-461039,9.380339999999999,9.554813000000001,9.041766
2CXO J164856.9-461050,13.652999,14.320448,12.740428
2CXO J164913.3-435528,9.961514999999999,10.373087,9.382908
2CXO J165913.7-400633,16.586632,17.893806,15.423337
2CXO J165914.1-400658,16.162941,17.88715,14.903757999999998
2CXO J165916.6-400644,17.14817,17.7542,15.528535
2CXO J170259.8-430712,9.193045,9.632463000000001,8.585068
2CXO J170545.6-410417,10.46481,11.524632,9.441402
2CXO J171459.6-400214,10.406519,11.042204,9.619275
2CXO J171515.3-402007,8.711744,9.980255999999999,7.581971
2CXO J171610.4-395722,18.630173000000003,19.73709,17.638954000000002
2CXO J171917.9-355003,17.990564000000003,18.975842,17.003263
2CXO J171942.2-355421,19.908503,21.293514000000002,18.360139999999998
2CXO J172024.9-354333,18.716923,19.79291,17.611342999999998
2CXO J172035.3-360405,16.027166,17.25536,14.919764
2CXO J172059.2-354139,18.227795,19.431885,17.173029
2CXO J172130.5-354205,20.630148000000002,21.447435000000002,18.986105
2CXO J172256.1-340911,15.509858,17.628204,14.150867000000002
2CXO J172339.4-342645,13.230381,14.734716,12.031963000000001
2CXO J172345.0-341508,20.53718,22.057686,19.133104
2CXO J172427.2-340800,18.309279999999998,20.487227999999998,16.961338
2CXO J172428.5-341754,19.478527,21.308445000000003,18.118275
2CXO J172430.7-341551,18.03916,19.940179999999998,16.737133
2CXO J172434.6-340844,17.905043,19.919342,16.577827
2CXO J172440.1-341712,19.428410999999997,21.218664,17.918938
2CXO J172443.1-341643,18.344799,20.076735,17.078829000000002
2CXO J172448.3-341707,17.421057,19.289555,16.110298
2CXO J172502.4-342010,16.606888,17.756062,15.396451999999998
2CXO J172505.2-342138,20.386674,21.626049,18.850996
2CXO J172513.0-341524,18.499229,20.342953,17.163168
2CXO J172515.9-342613,20.030226000000003,21.347946,18.391945
2CXO J172517.0-341403,20.268969,21.539257,18.735807
2CXO J172518.8-341457,7.069311999999999,7.206882000000001,6.803249
2CXO J172518.8-342242,19.811676000000002,21.732529,18.234617
2CXO J172519.0-342533,19.878176,21.606503,18.241410000000002
2CXO J172526.8-342631,18.488777,20.49962,17.063057
2CXO J172529.1-342500,20.545235,21.262154000000002,18.891333
2CXO J172529.1-342515,11.104633,12.221007,10.056491000000001
2CXO J172529.1-342806,20.597619,21.046470000000003,19.234999
2CXO J172529.3-342733,19.033171,21.02487,17.707214
2CXO J172530.1-342432,19.380306,21.726713,17.95259
2CXO J172530.9-342642,19.567595999999998,20.844397,18.227297
2CXO J172531.3-342543,20.293171,21.826056,19.023376000000003
2CXO J172531.7-342321,20.463293,21.857143,18.751520000000003
2CXO J172532.9-342351,19.309138,20.495676,17.785583
2CXO J172532.9-342505,20.411562,21.208612,19.242548
2CXO J172533.5-342430,17.34927,19.451195000000002,16.012196
2CXO J172533.8-342437,19.191614,21.373182,17.861357
2CXO J172533.9-342415,19.967983,21.719348999999998,18.630371
2CXO J172534.1-342501,15.476913,17.278328,14.199314999999999
2CXO J172534.2-342311,10.853299,12.236528,9.660416
2CXO J172534.3-342318,15.726671,17.704609,14.359573999999999
2CXO J172534.4-342548,17.891878,20.38177,16.376057
2CXO J172534.5-342529,19.437872,21.16561,17.668417
2CXO J172534.8-342430,18.667965,20.55473,17.248125
2CXO J172535.1-342455,16.477604,18.31456,15.223331
2CXO J172535.2-342229,19.965917,21.757820000000002,18.628666
2CXO J172535.9-342540,19.522795000000002,21.512732,17.986332
2CXO J172536.4-342602,18.971535,21.15005,17.646872000000002
2CXO J172536.5-342546,20.051098,21.783718,18.881649
2CXO J172536.7-342501,18.094601,20.143719,16.608103
2CXO J172536.9-342649,19.824617,21.47022,17.901889999999998
2CXO J172537.1-342406,19.858506,21.169142,18.3725
2CXO J172537.4-342419,19.50627,21.36202,18.385574
2CXO J172537.6-343147,15.217687,16.07771,14.246198000000001
2CXO J172538.0-342604,18.871260999999997,21.061632,17.377548
2CXO J172538.2-342613,19.294624,20.72897,17.415869
2CXO J172539.0-342429,20.379402,21.874933,19.065445
2CXO J172539.4-342524,17.963613,20.096992,16.540152
2CXO J172540.0-342443,17.715270999999998,20.176548,16.065912
2CXO J172540.8-342451,19.762625,21.369792999999998,18.098743
2CXO J172541.2-342252,19.94593,21.128086,18.352435999999997
2CXO J172541.8-342358,18.270573000000002,20.463589000000002,16.755697
2CXO J172542.7-342714,19.287268,21.255497000000002,17.558865
2CXO J172543.4-342538,18.824558,20.149088,17.295279999999998
2CXO J172547.7-342740,19.013676999999998,20.901615,17.520779
2CXO J172548.8-342514,19.086603,21.626257,17.863548
2CXO J172551.0-342301,20.417725,21.043158,19.008543
2CXO J172554.3-342613,19.849326,21.08997,18.46061
2CXO J172607.9-341811,20.026032,21.167084,18.683119
2CXO J172615.4-343912,16.58836,17.892712,15.439251
2CXO J172641.7-354052,10.797821,11.296174,10.134153
2CXO J172918.8-314601,17.574463,18.928917000000002,16.461056
2CXO J173005.6-334258,6.682276,6.728344,6.534479
2CXO J173032.3-335036,20.281239000000003,21.50955,18.8876
2CXO J173233.5-313123,14.999011,16.591963,13.790695999999999
2CXO J174044.5-302635,8.684477000000001,9.268569,7.950614999999999
2CXO J174249.9-275038,8.708071,8.939675,8.312265
2CXO J174403.7-312306,19.725876,20.035318,18.259066
2CXO J174625.4-263134,19.803442,20.523623,19.078054
2CXO J174835.9-325458,20.978357,20.776884,17.746971
2CXO J174900.8-291402,9.779553,10.599115,8.895738
2CXO J175045.3-285817,11.303288,11.61007,10.818375999999999
2CXO J175205.5-301931,17.372859,19.139282,16.027153
2CXO J175348.2-284118,7.587966000000001,8.128127000000001,6.891181
2CXO J175412.7-301248,17.937179,18.400942,16.355293
2CXO J175430.1-292357,12.872204,13.543039000000002,12.01476
2CXO J175515.8-311551,9.720459,9.962710000000001,9.318213
2CXO J175622.0-251544,8.807008999999999,8.990582,8.47565
2CXO J175625.6-250611,18.983432999999998,21.621403,17.27755
2CXO J175829.8-305701,19.736183,20.476267,17.789675
2CXO J180015.6-232443,20.881632,21.711035,19.176785
2CXO J180017.5-232634,19.706246,20.838238,18.531498000000003
2CXO J180023.3-233348,10.304555,10.074002,9.418055
2CXO J180027.8-233046,17.979058,19.277344,16.832298
2CXO J180210.8-225532,17.072542000000002,18.047810000000002,16.073320000000002
