name,fuv_mag,nuv_mag
2CXO J095724.3+023518,,20.829
2CXO J095743.3+024823,,21.505
2CXO J095755.0+024806,,20.077
2CXO J095756.7+024840,,22.557
2CXO J095806.9+014202,,22.265
2CXO J095821.4+013321,22.293000000000006,23.072
2CXO J095908.6+025424,20.947,19.622
2CXO J100136.5+025303,,21.245
2CXO J100228.9+013544,,22.356
2CXO J100327.7+015742,19.468,18.603
2CXO J122419.8+110722,,20.658
2CXO J122453.3+123917,21.499,20.313
2CXO J122454.7+123609,,21.557
2CXO J122546.7+095519,20.196,19.714
2CXO J122752.5+080526,20.924,20.048
2CXO J122805.3+100225,19.146,18.719
2CXO J122811.4+095126,20.338,20.093
2CXO J122829.5+170505,18.472,16.79
2CXO J122926.4+132019,19.012,19.157
2CXO J122926.6+122305,,20.758000000000006
2CXO J122934.1+134630,20.487,19.802
2CXO J123039.6+104347,,19.107
2CXO J123052.6+143304,19.488,19.249
2CXO J123055.5+164226,21.481,21.225
2CXO J123056.8+165441,21.314,20.515
2CXO J123127.4+135449,19.056,18.797
2CXO J123200.3+142442,16.132,13.672
2CXO J123227.9+141558,21.003,20.35
2CXO J123248.3+134945,19.372,18.673
2CXO J123310.0+161125,21.025,19.588
2CXO J123310.4+161053,,21.215
2CXO J123310.6+164905,21.466,19.972
2CXO J123559.6+072207,,20.169
2CXO J123619.3+163302,19.689,14.223
2CXO J123713.9+093303,,16.169
2CXO J123733.7+131905,19.224,18.962
2CXO J124137.2+123141,20.327,19.206
2CXO J124233.6+121224,19.961,19.293
2CXO J124246.0+122405,21.899,19.88
2CXO J124406.9+113523,20.45,19.717
2CXO J124416.5+124601,19.792,19.476
2CXO J124431.1+111404,20.718000000000004,19.151
2CXO J143040.5+364903,21.174,20.393
2CXO J143118.1+364704,22.462,21.171
2CXO J000201.9+004541,,20.684
2CXO J000230.7+004959,,19.913
2CXO J000249.5+004234,,20.909
2CXO J002305.0-010743,19.778,19.368
2CXO J002332.4-011445,18.354,17.785999999999994
2CXO J002342.3+002041,,20.44
2CXO J003304.4-434920,,22.379
2CXO J003315.3-433301,22.229,21.347
2CXO J003338.9-434412,,21.393
2CXO J003339.0-432554,,22.018
2CXO J003350.9-432740,,22.036
2CXO J003353.5-432127,,21.71
2CXO J003359.2-432640,,21.888
2CXO J003413.6-432600,,22.738000000000003
2CXO J003416.0-433337,,21.913
2CXO J003429.1-432412,,22.366
2CXO J003444.5-433749,21.791,20.982
2CXO J003614.2-431940,,22.944000000000006
2CXO J003624.2-431732,,22.7
2CXO J003626.5-430820,,21.551
