id,ra,dec,pos_err
cid_3234,149.67307,2.078759,0.27
cid_204,149.82662,1.941339,0.239
cid_2040,150.22194,2.270167,1.966
cid_205,149.83297,2.021083,0.19
cid_2051,150.27523,2.322596,0.755
cid_2057,150.29508,2.275012,0.326
cid_2059,150.31583,2.336873,0.482
cid_206,149.83707,2.008912,0.128
cid_2061,150.3198,2.287255,0.35
cid_2062,150.32117,2.284829,0.351
cid_2066,150.33156,2.247952,0.27
cid_207,149.84766,1.920564,0.293
cid_2078,150.37465,2.284865,0.302
cid_208,149.85193,1.998527,0.1
cid_209,149.861887,1.894753,0.1
cid_2097,149.99717,2.416155,1.087
cid_21,150.21464,2.204334,0.112
cid_210,149.86556,2.003161,0.159
cid_211,149.86861,1.993166,0.338
cid_2111,150.05588,2.357676,0.417
cid_2113,150.06869,2.412499,0.301
cid_21192,150.430919,2.439736,0.515
cid_212,149.88505,2.008867,0.293
cid_2122,150.08555,2.36417,0.302
cid_2123,150.08594,2.399061,0.43
cid_2125,150.08944,2.299971,1.157
cid_2128,150.09173,2.321929,0.495
cid_213,149.89087,1.943803,0.753
cid_214,149.848845,1.889938,0.302
cid_215,149.87444,2.03115,0.148
cid_2158,149.87652,2.518752,2.085
cid_216,149.791753,1.872804,0.209
cid_217,149.800564,1.870399,0.197
cid_2177,149.9666,2.432455,0.349
cid_218,149.807935,1.826224,0.502
cid_2180,149.97568,2.461545,0.349
cid_219,149.812762,1.824062,0.329
cid_2191,150.02396,2.338668,1.213
cid_22,150.20626,2.285839,0.135
cid_220,149.816845,1.846738,0.22
cid_221,149.82052,1.811708,0.221
cid_2212,149.742532,2.535318,0.421
cid_2216,149.775693,2.570018,0.712
cid_222,149.821898,1.838674,0.167
cid_2220,149.783746,2.452133,0.526
cid_2223,149.790396,2.492336,0.599
cid_2229,149.800138,2.470343,0.167
cid_223,149.822537,1.828271,0.471
cid_2236,149.823528,2.539871,0.547
cid_224,149.828692,1.780391,0.248
cid_2242,149.83886,2.498785,0.429
cid_2247,149.85016,2.452244,0.302
cid_225,149.834739,1.817705,0.349
cid_2252,149.87696,2.4442,0.383
cid_2254,149.88044,2.447449,0.387
cid_2258,149.88633,2.446217,0.421
cid_226,149.852947,1.803407,0.225
cid_227,150.04708,1.931413,0.173
cid_228,149.93473,1.945635,0.229
cid_229,149.97286,1.941684,0.429
cid_22962,149.646408,1.972755,0.427
cid_2299,150.420777,2.068197,0.461
cid_23,150.22391,2.2708,0.408
cid_230,149.98015,1.925055,0.607
cid_2303,150.422746,2.128774,0.339
cid_2305,150.425796,2.16006,0.688
cid_2309,150.434575,2.135847,0.425
cid_231,149.98862,1.932377,0.615
cid_2310,150.435315,2.123278,0.115
cid_2313,150.442026,2.155033,0.511
cid_2315,150.453379,2.099255,0.645
cid_2319,150.464647,2.126387,0.803
cid_232,149.98864,1.908585,0.537
lid_2636,150.027658,1.427935,1.465
lid_2637,150.029015,1.520275,0.214
lid_2638,150.031752,1.531502,0.256
lid_264,150.674041,2.532289,0.41
lid_2640,150.049331,1.482738,0.425
lid_2641,150.056891,1.608262,0.733
lid_2642,150.072273,1.445834,0.718
lid_2643,150.074977,1.534385,0.245
lid_2644,150.077557,1.59451,0.501
lid_2646,149.913221,1.714395,0.675
lid_2647,149.921768,1.699935,0.833
lid_2648,149.892963,1.618011,0.552
lid_265,150.675864,2.576352,0.4
lid_2652,150.000041,1.660135,0.506
lid_2653,150.007839,1.686232,0.186
lid_2654,150.01875,1.636085,0.764
lid_2655,150.024863,1.643521,0.796
lid_266,150.68308,2.574633,0.1
lid_2660,149.67589,1.546228,1.572
lid_2661,149.687555,1.562687,1.24
lid_2663,149.779213,1.585947,0.441
lid_2664,149.804928,1.545397,0.665
lid_2665,149.834825,1.555088,0.548
lid_2666,149.846236,1.506367,1.825
lid_2667,149.852393,1.49033,1.387
lid_2669,150.295254,1.683785,1.149
lid_267,150.690576,2.577847,0.197
lid_2671,150.230443,1.515391,0.995
lid_2672,150.313334,1.604603,1.052
lid_2673,150.316491,1.60386,0.789
lid_2675,150.323419,1.528813,1.091
lid_2676,150.331626,1.643173,0.995
lid_2678,150.351037,1.582908,1.183
lid_2679,150.354324,1.590587,0.611
lid_2680,150.348572,1.684529,0.497
lid_269,150.779368,2.522546,0.199
lid_270,150.799978,2.60666,0.329
lid_271,150.811339,2.688616,1.29
lid_272,150.816688,2.627211,0.359
lid_2727,150.490173,2.181838,1.473
lid_2728,150.498854,2.149476,2.372
lid_273,150.817255,2.633497,0.477
lid_274,150.822618,2.671742,0.769
lid_2746,150.454903,1.971332,0.516
lid_2747,150.511709,2.015304,1.332
lid_275,150.850111,2.577496,0.569
lid_276,150.887576,2.651354,0.602
lid_2767,150.426372,1.682793,0.269
lid_2768,150.45131,1.755366,0.652
lid_2769,150.485168,1.783662,0.47
lid_277,150.555879,2.564342,0.523
lid_2772,150.387635,1.81003,0.845
lid_2773,150.423638,1.846249,0.685
lid_2774,150.425888,1.799851,0.432
lid_2776,150.464121,1.845217,0.23
lid_2778,150.476635,1.888504,0.511
lid_2779,150.47724,1.872818,0.37
lid_278,150.624558,2.540292,0.689
lid_2780,150.500799,1.828618,0.599
lid_2782,150.470507,2.020279,0.669
lid_2783,150.48718,1.925108,0.314
lid_2784,150.518256,1.889981,0.856
lid_2786,150.48135,2.043561,0.638
lid_279,150.632976,2.585356,0.318
lid_2790,150.496817,2.005353,0.691
lid_2792,150.541518,2.062995,0.611
lid_2793,150.560389,2.036856,0.397
lid_2794,150.562883,2.119172,0.656
lid_2795,150.58658,2.183819,0.166
lid_2796,150.591105,2.128288,0.542
lid_2797,150.57859,2.175835,0.294
lid_2798,150.579512,2.25238,0.307
lid_280,150.633861,2.593684,0.193
cid_141,150.052215,2.594614,0.51
cid_1,149.63956,1.991034,0.429
cid_100,150.34101,2.367167,0.279
cid_1000,149.67574,2.010529,0.189
cid_1001,149.68638,2.047209,0.289
cid_1002,149.71656,2.007914,0.584
cid_1003,149.663081,2.013041,0.203
cid_1004,149.671175,2.057623,0.259
cid_1005,149.67266,2.005769,0.428
cid_1006,149.67632,2.012526,0.249
cid_1007,149.69001,2.039144,0.692
cid_1008,149.70899,2.089305,0.349
cid_1009,149.654383,1.959833,0.318
cid_101,150.3418,2.392769,0.288
cid_1010,149.67196,1.941526,0.202
cid_1011,149.8146,1.967399,0.341
cid_1013,149.81829,2.053155,0.114
cid_1014,149.75426,1.997084,0.776
cid_1015,149.86495,2.01634,0.408
cid_1016,149.80272,1.901909,1.02
cid_1017,149.88965,1.919805,1.202
cid_1018,149.77907,1.928541,0.348
cid_1019,149.830418,1.902133,0.501
cid_102,150.34768,2.391006,0.234
cid_1020,149.87578,1.882745,0.257
cid_1021,149.91698,1.899899,0.269
cid_1022,149.96966,1.891586,0.422
cid_1024,149.86568,2.027426,0.479
cid_1025,149.903984,1.866952,0.228
cid_1026,149.941042,1.86269,0.448
cid_1027,150.04105,1.849361,0.2
cid_1028,150.16172,1.877962,0.202
cid_1029,150.12485,1.868805,1.008
cid_103,150.289842,2.454958,0.1
cid_1030,150.14112,1.819885,0.269
cid_1031,150.10775,1.861452,0.629
cid_1032,150.03476,1.935177,0.402
cid_1033,150.06502,1.922829,0.302
cid_1036,150.128131,1.786425,0.133
cid_1037,150.133703,1.797944,0.403
cid_1038,150.24161,1.780429,0.329
cid_1039,150.25928,1.75729,0.106
cid_104,150.02099,2.420464,0.24
cid_1040,150.22593,1.799779,0.446
cid_1042,150.12899,1.923415,0.693
cid_1043,150.12874,1.920954,0.435
cid_1044,150.24515,1.900129,0.109
cid_1045,150.13997,1.817247,0.155
cid_1046,150.20435,1.815206,0.539
cid_1048,150.18981,1.774307,0.227
cid_1049,150.2282,1.767336,0.345
cid_105,150.0223,2.516554,0.112
cid_1050,150.250251,1.744406,0.125
cid_10507,150.591178,2.246864,0.377
cid_1051,150.2529,1.871067,0.658
cid_1052,150.27845,1.84047,0.403
cid_1053,150.304822,1.824246,0.531
cid_1054,149.71404,2.121941,0.349
cid_1055,149.73713,2.089773,0.19
cid_10552,149.792453,1.887095,0.429
cid_1056,149.75403,2.141884,0.293
cid_1057,149.81246,2.111085,1.096
cid_1058,149.688807,2.1337,0.312
cid_1059,149.706969,2.15898,0.473
cid_10599,149.705563,2.46021,0.572
cid_106,150.04024,2.471334,0.696
cid_1060,149.70989,2.155134,0.295
cid_1063,149.70188,2.121601,0.612
cid_1064,149.7064,2.131749,0.227
cid_1065,149.76589,2.054722,0.606
cid_1066,149.79436,2.073134,0.15
cid_1067,149.8514,2.136145,0.181
cid_1068,149.83013,2.089128,0.269
lid_2802,150.604199,2.246167,0.292
lid_2803,150.60388,2.084553,0.954
lid_2805,150.625907,2.1537,0.597
lid_2806,150.656104,2.224599,0.63
lid_2808,150.523621,2.283175,0.921
lid_2199,149.712691,2.743716,1.079
lid_2200,149.735631,2.757843,0.717
lid_2201,149.744922,2.891373,1.366
lid_2203,149.71607,2.816699,1.74
lid_2204,149.75026,2.663961,0.176
lid_2205,149.804091,2.611039,0.692
lid_2207,149.656412,2.480987,1.417
lid_2209,149.758283,2.579448,0.72
lid_2210,149.77255,2.555722,0.584
lid_2211,149.64422,2.359311,0.38
lid_2212,149.64858,2.378954,0.396
lid_2214,149.676803,2.353466,0.602
lid_2215,149.683297,2.384144,0.487
lid_2218,149.777181,2.444059,0.883
lid_2219,149.499453,2.276213,0.237
lid_2221,149.550161,2.242634,1.063
lid_2224,149.596748,2.250608,0.4
lid_2226,149.602394,2.232436,0.369
lid_2228,149.629329,2.3293,0.508
lid_2229,149.641076,2.354504,0.494
lid_223,150.058526,2.7304,0.383
