,recno,RAJ2000,DEJ2000
0,1,83.62273,-5.393730000000001
1,2,83.64147,-5.36977
2,3,83.65928000000001,-5.40653
3,4,83.66634,-5.445
4,5,83.66681,-5.434480000000001
5,6,83.67022,-5.44425
6,7,83.67036999999999,-5.37841
7,8,83.67078000000001,-5.4333
8,9,83.67345,-5.399380000000001
9,10,83.67393,-5.44802
10,11,83.67443,-5.36378
11,12,83.67492,-5.3589400000000005
12,13,83.67708,-5.37953
13,14,83.67929000000001,-5.33534
14,15,83.6852,-5.43502
15,16,83.68548,-5.41064
16,17,83.68666999999999,-5.377330000000001
17,18,83.68834,-5.41781
18,19,83.68958,-5.3350599999999995
19,20,83.69008000000001,-5.4486099999999995
20,21,83.69141,-5.4154599999999995
21,22,83.69163,-5.38074
22,23,83.6934,-5.4088400000000005
23,24,83.69415,-5.39045
24,25,83.69467,-5.35691
25,26,83.69483000000001,-5.43461
26,27,83.695,-5.35803
27,28,83.696,-5.39933
28,29,83.69694,-5.3684
29,30,83.69826,-5.3579099999999995
30,31,83.69892,-5.44214
31,32,83.69984000000001,-5.39455
32,33,83.70012,-5.445
33,34,83.70044,-5.36444
34,35,83.70065,-5.37737
35,36,83.70267,-5.415719999999999
36,37,83.70331999999999,-5.31879
37,38,83.70348,-5.388330000000001
38,39,83.7043,-5.47182
39,40,83.70456,-5.44075
40,41,83.70459,-5.46914
41,42,83.70549,-5.31544
42,43,83.70669000000001,-5.48426
43,44,83.70821,-5.31231
44,45,83.70898000000001,-5.3333900000000005
45,46,83.70962,-5.442069999999999
46,47,83.71028000000001,-5.33904
47,48,83.71059,-5.39316
48,49,83.71139000000001,-5.40036
49,50,83.71146,-5.45025
50,51,83.71171,-5.40085
51,52,83.71208,-5.49021
52,53,83.71425,-5.4825
53,54,83.7149,-5.42028
54,55,83.71592,-5.36085
55,56,83.71683,-5.40522
56,57,83.71688,-5.411919999999999
57,58,83.71748000000001,-5.37553
58,59,83.71818,-5.50216
59,60,83.71825,-5.417
60,61,83.71919,-5.40107
61,62,83.71925,-5.49606
62,63,83.71959,-5.357069999999999
63,64,83.71994000000001,-5.46472
64,65,83.71994000000001,-5.465319999999999
65,66,83.72067,-5.48295
66,67,83.72113,-5.44988
67,68,83.72126999999999,-5.44097
68,561,83.80764,-5.379569999999999
69,69,83.72165,-5.40024
70,70,83.72428000000001,-5.44356
71,71,83.72476,-5.3726199999999995
72,72,83.72485999999999,-5.46364
73,73,83.72556999999999,-5.37407
74,74,83.72594000000001,-5.48169
75,75,83.72615,-5.35987
76,76,83.72699,-5.349480000000001
77,77,83.72757,-5.38373
78,78,83.72768,-5.47171
79,79,83.72816999999999,-5.32181
80,80,83.72868000000001,-5.4201
81,81,83.72935,-5.44969
82,82,83.72951,-5.42483
83,83,83.72964,-5.33167
84,84,83.72995,-5.29617
85,85,83.73048,-5.50608
86,86,83.7318,-5.4937
87,87,83.73255,-5.33641
88,88,83.73267,-5.32934
89,89,83.73292,-5.35241
90,90,83.73325,-5.38697
91,91,83.73331,-5.36864
92,92,83.73333000000001,-5.49063
93,93,83.73340999999999,-5.520230000000001
94,94,83.73389,-5.4821
95,95,83.73543000000001,-5.52672
96,96,83.73562,-5.4641
97,97,83.73654,-5.4437
98,98,83.73687,-5.36011
99,99,83.73725999999999,-5.35611
100,100,83.73727,-5.36843
101,101,83.73756,-5.38335
102,102,83.73954,-5.51154
103,103,83.74029,-5.50822
104,104,83.74064,-5.39763
105,105,83.74081,-5.3809
106,106,83.74083,-5.397959999999999
107,107,83.74108000000001,-5.478280000000001
108,108,83.74145,-5.49606
109,109,83.74189,-5.49458
110,110,83.7419,-5.293819999999999
111,111,83.74252,-5.47997
112,112,83.74287,-5.42591
113,113,83.74316999999999,-5.35467
114,114,83.74502,-5.35491
115,115,83.74512,-5.28367
116,116,83.74551,-5.467569999999999
117,117,83.74665999999999,-5.38551
118,118,83.74713,-5.392469999999999
119,119,83.74772,-5.38099
120,120,83.7482,-5.40008
121,121,83.74849,-5.42779
122,122,83.74951999999999,-5.37603
123,123,83.75050999999999,-5.38388
124,124,83.75059,-5.4211800000000006
125,125,83.75101,-5.40256
126,126,83.75108,-5.31418
127,127,83.75201,-5.42066
128,128,83.75355,-5.51834
129,129,83.75433000000001,-5.40287
130,130,83.75453,-5.38441
131,131,83.75494,-5.40188
132,132,83.75508,-5.36235
133,133,83.75513000000001,-5.42347
134,134,83.75518000000001,-5.37219
135,135,83.75544000000001,-5.33804
136,136,83.75558000000001,-5.33951
137,4630,98.02556,4.87092
138,137,83.75561,-5.30593
139,138,83.75567,-5.46988
140,139,83.75625,-5.47236
141,140,83.7564,-5.3022
142,141,83.75666,-5.42612
143,142,83.75676999999999,-5.40284
144,143,83.75678,-5.3636099999999995
145,144,83.75695999999999,-5.44339
146,145,83.75719000000001,-5.45275
147,146,83.75721999999999,-5.42017
148,147,83.75761999999999,-5.50539
149,148,83.75793,-5.39825
150,149,83.75837,-5.30941
151,150,83.75838,-5.34866
152,151,83.75862,-5.30628
153,152,83.75872,-5.4434
154,153,83.75875,-5.39911
155,154,83.75904,-5.31261
156,155,83.75905999999999,-5.48607
157,156,83.75968,-5.35647
158,157,83.75971,-5.51952
159,158,83.76019000000001,-5.34627
160,159,83.76052,-5.55269
161,1161,83.84254,-5.4624
162,160,83.76129,-5.54019
163,161,83.76146,-5.53417
164,162,83.76154,-5.32909
165,163,83.76172,-5.36735
166,164,83.76189000000001,-5.36897
167,165,83.76221,-5.26443
168,166,83.76254,-5.50039
169,167,83.76290999999999,-5.37716
170,168,83.76319000000001,-5.3083
171,169,83.76346,-5.290690000000001
172,170,83.76353,-5.29814
173,171,83.76398,-5.2729800000000004
174,172,83.76438,-5.39246
175,173,83.76442,-5.43616
176,174,83.76459,-5.34631
177,175,83.76483,-5.26675
178,176,83.76495,-5.49046
179,177,83.76546,-5.37936
180,178,83.76578,-5.41516
181,179,83.76637,-5.48425
182,180,83.76664,-5.3166199999999995
183,181,83.76698,-5.44365
184,182,83.76706,-5.47234
185,183,83.76708,-5.37638
186,184,83.76736,-5.3377
187,185,83.76743,-5.37343
188,186,83.76744000000001,-5.37557
189,187,83.76751,-5.33672
190,188,83.76751999999999,-5.44109
191,189,83.76809,-5.38699
192,190,83.76823,-5.38719
193,191,83.76848000000001,-5.3308599999999995
194,192,83.76879,-5.39905
195,193,83.76881,-5.43456
196,194,83.76883000000001,-5.49397
197,195,83.769,-5.33716
198,196,83.76906,-5.521
199,197,83.76916,-5.43979
200,198,83.76926,-5.41179
201,199,83.76949,-5.49339
202,200,83.76961,-5.40998
203,201,83.76987,-5.443890000000001
204,202,83.7699,-5.29504
205,203,83.7701,-5.37745
206,204,83.77035,-5.34927
207,205,83.77055,-5.3801
208,206,83.77064,-5.35259
209,207,83.77121,-5.41706
210,208,83.77143000000001,-5.34017
211,209,83.77174000000001,-5.43427
212,210,83.77194,-5.3898
213,211,83.772,-5.4175699999999996
214,212,83.77245,-5.4029300000000005
215,213,83.77256,-5.45474
216,214,83.77259000000001,-5.40421
217,215,83.77261,-5.4229
218,216,83.77275999999999,-5.37515
219,217,83.77278000000001,-5.432169999999999
220,218,83.77303,-5.46443
221,219,83.77319,-5.3226
222,220,83.77341,-5.48955
223,221,83.77345,-5.3068800000000005
224,222,83.77353000000001,-5.4221
225,223,83.77362,-5.39586
226,224,83.77376,-5.41844
227,225,83.77378,-5.32677
228,226,83.7738,-5.41781
229,227,83.77386,-5.39836
230,297,83.78641999999999,-5.38241
231,228,83.77391999999999,-5.40515
232,229,83.77396,-5.4406099999999995
233,230,83.77415,-5.56545
234,231,83.77415,-5.38774
235,232,83.77441999999999,-5.45046
236,233,83.77453,-5.57179
237,234,83.77458,-5.4525
238,235,83.77558,-5.38506
239,236,83.77564,-5.33205
240,237,83.77571,-5.338080000000001
241,238,83.77577,-5.37012
242,239,83.77620999999999,-5.36742
243,240,83.77671,-5.38764
244,241,83.77673,-5.56
245,242,83.77681,-5.45134
246,243,83.77687,-5.36877
247,244,83.77696,-5.51928
248,245,83.77698000000001,-5.35516
249,246,83.7771,-5.4486099999999995
250,247,83.77711,-5.289569999999999
251,248,83.7772,-5.41151
252,249,83.77731,-5.41709
253,250,83.77743000000001,-5.54747
254,251,83.7775,-5.44755
255,252,83.77781999999999,-5.37904
256,253,83.77816999999999,-5.33864
257,254,83.77874,-5.3692400000000005
258,255,83.77889,-5.43349
259,256,83.77943,-5.4168400000000005
260,257,83.77988,-5.30849
261,258,83.78005999999999,-5.44402
262,259,83.78033,-5.43639
263,260,83.78033,-5.37405
264,261,83.78068,-5.49464
265,262,83.78081,-5.37472
266,263,83.78087,-5.43004
267,264,83.781,-5.383830000000001
268,265,83.78106,-5.4445
269,266,83.78147,-5.33056
270,267,83.78179,-5.40017
271,268,83.78215,-5.414680000000001
272,269,83.78222,-5.357480000000001
273,270,83.78226,-5.35041
274,271,83.78274,-5.48822
275,272,83.78286,-5.28482
276,273,83.78319,-5.35475
277,274,83.78321,-5.30733
278,275,83.78331999999999,-5.33424
279,276,83.78348000000001,-5.54553
280,277,83.78384,-5.50623
281,278,83.78432,-5.34635
282,279,83.78435,-5.4009
283,280,83.78446,-5.48675
284,281,83.78461,-5.40969
285,282,83.78461999999999,-5.32055
286,283,83.78465,-5.32699
287,284,83.78481,-5.46584
288,285,83.78501999999999,-5.47483
289,286,83.78509,-5.3750599999999995
290,287,83.78513000000001,-5.35543
291,288,83.78517,-5.38471
292,289,83.78554,-5.411569999999999
293,290,83.78558000000001,-5.42168
294,291,83.78577,-5.41118
295,292,83.78586,-5.43875
296,293,83.7859,-5.2798
297,294,83.7861,-5.27039
298,295,83.78621,-5.52436
299,296,83.78625,-5.48377
300,487,83.80407,-5.39168
301,298,83.78694,-5.28496
302,299,83.78697,-5.53024
303,300,83.78725,-5.3259099999999995
304,301,83.7875,-5.33661
305,302,83.78768000000001,-5.38313
306,303,83.78777,-5.49978
307,304,83.78792,-5.278919999999999
308,305,83.78815999999999,-5.28109
309,306,83.7884,-5.51624
310,307,83.78896,-5.36153
311,308,83.78952,-5.34963
312,309,83.7896,-5.46357
313,310,83.78973,-5.36335
314,311,83.78987,-5.328530000000001
315,312,83.79001,-5.47305
316,313,83.79002,-5.46669
317,314,83.79021,-5.43985
318,315,83.79029,-5.3569
319,316,83.79035,-5.39888
320,317,83.79039,-5.36444
321,318,83.79073000000001,-5.39082
322,319,83.79073000000001,-5.40186
323,320,83.79074,-5.35785
324,321,83.79092,-5.430680000000001
325,322,83.79101999999999,-5.46477
326,323,83.79109,-5.3163800000000005
327,324,83.7911,-5.32607
328,325,83.79124,-5.44302
329,326,83.79129,-5.39404
330,327,83.79129,-5.36203
331,328,83.79133,-5.24711
332,329,83.79176,-5.24921
333,330,83.79176,-5.30459
334,331,83.79179,-5.400530000000001
335,332,83.79185,-5.28535
336,333,83.79196,-5.31736
337,334,83.7923,-5.3757
338,335,83.79235,-5.46611
339,336,83.79241999999999,-5.32547
340,337,83.7925,-5.33913
341,338,83.79256,-5.3093699999999995
342,339,83.79259,-5.38932
343,340,83.79276999999999,-5.36583
344,341,83.79279,-5.38786
345,342,83.79295,-5.54364
346,343,83.79295,-5.40477
347,344,83.79296,-5.33229
348,345,83.79302,-5.3535900000000005
349,346,83.79316999999999,-5.48425
350,347,83.79324,-5.38325
351,348,83.79326999999999,-5.4143099999999995
352,349,83.79329,-5.33111
353,350,83.79343,-5.50223
354,351,83.79347,-5.35959
355,352,83.79356,-5.37314
356,353,83.79359000000001,-5.35901
357,354,83.79361999999999,-5.36374
358,355,83.79369,-5.43344
359,356,83.79375,-5.37937
360,357,83.79382,-5.43843
361,358,83.79388,-5.4290400000000005
362,359,83.79392,-5.37124
363,360,83.79397,-5.40463
364,361,83.79408000000001,-5.5850800000000005
365,362,83.79414,-5.3656
366,363,83.79415,-5.37909
367,364,83.79415,-5.55368
368,365,83.79425,-5.38224
369,366,83.79438,-5.38428
370,16780,275.05894,-16.23343
