recno|RAJ2000|DEJ2000
       1|083.62273|-05.39373
       2|083.64147|-05.36977
       3|083.65928|-05.40653
       4|083.66634|-05.44500
       5|083.66681|-05.43448
       6|083.67022|-05.44425
       7|083.67037|-05.37841
       8|083.67078|-05.43330
       9|083.67345|-05.39938
      10|083.67393|-05.44802
      11|083.67443|-05.36378
      12|083.67492|-05.35894
      13|083.67708|-05.37953
      14|083.67929|-05.33534
      15|083.68520|-05.43502
      16|083.68548|-05.41064
      17|083.68667|-05.37733
      18|083.68834|-05.41781
      19|083.68958|-05.33506
      20|083.69008|-05.44861
      21|083.69141|-05.41546
      22|083.69163|-05.38074
      23|083.69340|-05.40884
      24|083.69415|-05.39045
      25|083.69467|-05.35691
      26|083.69483|-05.43461
      27|083.69500|-05.35803
      28|083.69600|-05.39933
      29|083.69694|-05.36840
      30|083.69826|-05.35791
      31|083.69892|-05.44214
      32|083.69984|-05.39455
      33|083.70012|-05.44500
      34|083.70044|-05.36444
      35|083.70065|-05.37737
      36|083.70267|-05.41572
      37|083.70332|-05.31879
      38|083.70348|-05.38833
      39|083.70430|-05.47182
      40|083.70456|-05.44075
      41|083.70459|-05.46914
      42|083.70549|-05.31544
      43|083.70669|-05.48426
      44|083.70821|-05.31231
      45|083.70898|-05.33339
      46|083.70962|-05.44207
      47|083.71028|-05.33904
      48|083.71059|-05.39316
      49|083.71139|-05.40036
      50|083.71146|-05.45025
      51|083.71171|-05.40085
      52|083.71208|-05.49021
      53|083.71425|-05.48250
      54|083.71490|-05.42028
      55|083.71592|-05.36085
      56|083.71683|-05.40522
      57|083.71688|-05.41192
      58|083.71748|-05.37553
      59|083.71818|-05.50216
      60|083.71825|-05.41700
      61|083.71919|-05.40107
      62|083.71925|-05.49606
      63|083.71959|-05.35707
      64|083.71994|-05.46472
      65|083.71994|-05.46532
      66|083.72067|-05.48295
      67|083.72113|-05.44988
      68|083.72127|-05.44097
     561|083.80764|-05.37957
      69|083.72165|-05.40024
      70|083.72428|-05.44356
      71|083.72476|-05.37262
      72|083.72486|-05.46364
      73|083.72557|-05.37407
      74|083.72594|-05.48169
      75|083.72615|-05.35987
      76|083.72699|-05.34948
      77|083.72757|-05.38373
      78|083.72768|-05.47171
      79|083.72817|-05.32181
      80|083.72868|-05.42010
      81|083.72935|-05.44969
      82|083.72951|-05.42483
      83|083.72964|-05.33167
      84|083.72995|-05.29617
      85|083.73048|-05.50608
      86|083.73180|-05.49370
      87|083.73255|-05.33641
      88|083.73267|-05.32934
      89|083.73292|-05.35241
      90|083.73325|-05.38697
      91|083.73331|-05.36864
      92|083.73333|-05.49063
      93|083.73341|-05.52023
      94|083.73389|-05.48210
      95|083.73543|-05.52672
      96|083.73562|-05.46410
      97|083.73654|-05.44370
      98|083.73687|-05.36011
      99|083.73726|-05.35611
     100|083.73727|-05.36843
     101|083.73756|-05.38335
     102|083.73954|-05.51154
     103|083.74029|-05.50822
     104|083.74064|-05.39763
     105|083.74081|-05.38090
     106|083.74083|-05.39796
     107|083.74108|-05.47828
     108|083.74145|-05.49606
     109|083.74189|-05.49458
     110|083.74190|-05.29382
     111|083.74252|-05.47997
     112|083.74287|-05.42591
     113|083.74317|-05.35467
     114|083.74502|-05.35491
     115|083.74512|-05.28367
     116|083.74551|-05.46757
     117|083.74666|-05.38551
     118|083.74713|-05.39247
     119|083.74772|-05.38099
     120|083.74820|-05.40008
     121|083.74849|-05.42779
     122|083.74952|-05.37603
     123|083.75051|-05.38388
     124|083.75059|-05.42118
     125|083.75101|-05.40256
     126|083.75108|-05.31418
     127|083.75201|-05.42066
     128|083.75355|-05.51834
     129|083.75433|-05.40287
     130|083.75453|-05.38441
     131|083.75494|-05.40188
     132|083.75508|-05.36235
     133|083.75513|-05.42347
     134|083.75518|-05.37219
     135|083.75544|-05.33804
     136|083.75558|-05.33951
    4630|098.02556|+04.87092
     137|083.75561|-05.30593
     138|083.75567|-05.46988
     139|083.75625|-05.47236
     140|083.75640|-05.30220
     141|083.75666|-05.42612
     142|083.75677|-05.40284
     143|083.75678|-05.36361
     144|083.75696|-05.44339
     145|083.75719|-05.45275
     146|083.75722|-05.42017
     147|083.75762|-05.50539
     148|083.75793|-05.39825
     149|083.75837|-05.30941
     150|083.75838|-05.34866
     151|083.75862|-05.30628
     152|083.75872|-05.44340
     153|083.75875|-05.39911
     154|083.75904|-05.31261
     155|083.75906|-05.48607
     156|083.75968|-05.35647
     157|083.75971|-05.51952
     158|083.76019|-05.34627
     159|083.76052|-05.55269
    1161|083.84254|-05.46240
     160|083.76129|-05.54019
     161|083.76146|-05.53417
