,recno,MIRES,RAJ2000,DEJ2000
0,1,G205.9689-16.4401,85.10151,-1.46512
1,2,G206.3476-16.6308,85.10255,-1.87517
2,3,G206.6039-16.7577,85.1046,-2.15155
3,4,G206.5792-16.7336,85.11493,-2.1194
4,5,G206.3637-16.6098,85.1283,-1.87903
5,6,G206.0852-16.4685,85.12859,-1.5769799999999998
6,7,G206.1467-16.4889,85.13818,-1.63862
7,8,G206.8889-16.8576,85.14296,-2.4395599999999997
8,9,G206.1376-16.4768,85.1448,-1.62523
9,10,G205.9790-16.3891,85.15118000000001,-1.44981
10,11,G205.8416-16.3153,85.15468,-1.29873
11,12,G206.5716-16.6833,85.15614000000001,-2.08947
12,13,G206.8443-16.8200,85.15647,-2.38427
13,14,G206.4791-16.6327,85.15968000000001,-1.9875599999999998
14,15,G207.0124-16.8985,85.16150999999999,-2.5632
15,16,G205.9425-16.3589,85.16152,-1.4047
16,17,G205.9036-16.3371,85.16326,-1.3615
17,18,G206.9052-16.8421,85.16389000000001,-2.44617
18,19,G206.1397-16.4560,85.16414,-1.61733
19,20,G206.0213-16.3907,85.16875999999999,-1.48637
20,21,G206.5984-16.6764,85.17418,-2.10909
21,22,G206.5015-16.6274,85.1743,-2.00408
22,23,G206.9396-16.8462,85.17563,-2.47725
23,24,G206.7892-16.7706,85.17576,-2.3146400000000003
24,25,G206.8059-16.7764,85.17805,-2.33148
25,26,G206.3986-16.5710,85.17826,-1.89051
26,27,G206.3041-16.5231,85.17846999999999,-1.7880900000000002
27,28,G206.7888-16.7633,85.18200999999999,-2.31092
28,29,G206.7675-16.7521,85.18248,-2.2875900000000002
29,30,G206.3811-16.5562,85.1836,-1.8688099999999999
30,31,G206.4301-16.5781,85.1861,-1.9205
31,32,G206.6861-16.7063,85.18675999999999,-2.19728
32,33,G205.8055-16.2592,85.18796999999999,-1.24181
33,34,G205.8982-16.3031,85.19085,-1.34105
34,35,G206.5528-16.6332,85.19214000000001,-2.05028
35,36,G206.5963-16.6545,85.19264,-2.09712
36,37,G207.0130-16.8627,85.19355,-2.54717
37,38,G206.2090-16.4567,85.19455,-1.67645
38,39,G206.9564-16.8331,85.19467,-2.48537
39,40,G206.6746-16.6913,85.19497,-2.18056
40,41,G206.3429-16.5208,85.19776,-1.8198900000000002
41,42,G206.4460-16.5695,85.20076,-1.93003
42,43,G206.3795-16.5359,85.2008,-1.8580299999999998
43,44,G205.8972-16.2902,85.20185,-1.3341100000000001
44,45,G205.9039-16.2932,85.20222,-1.34123
45,46,G205.9145-16.2981,85.20259,-1.35256
46,47,G205.8975-16.2881,85.2038,-1.3333899999999999
47,48,G206.3098-16.4956,85.20534,-1.7800900000000002
48,49,G206.0899-16.3829,85.20643000000001,-1.5408899999999999
49,50,G205.8865-16.2792,85.20668,-1.31989
50,51,G206.3299-16.5032,85.20756,-1.8006400000000002
51,52,G206.4447-16.5607,85.20796999999999,-1.92481
52,53,G206.5625-16.6199,85.20822,-2.05228
53,54,G206.3239-16.4955,85.21168,-1.79203
54,55,G206.3764-16.5213,85.21238000000001,-1.8485599999999998
55,56,G206.4106-16.5380,85.21281,-1.8853099999999998
56,57,G207.0713-16.8692,85.2136,-2.59956
57,58,G206.4037-16.5333,85.21396999999999,-1.87725
58,59,G207.0728-16.8689,85.2146,-2.60067
59,60,G206.9309-16.7967,85.2156,-2.44695
60,61,G206.2662-16.4600,85.21726,-1.7264700000000002
61,62,G206.9384-16.7973,85.21843,-2.4535099999999996
62,63,G206.0926-16.3707,85.21843,-1.5375299999999998
63,64,G206.9698-16.8079,85.22301,-2.48508
64,65,G205.9179-16.2736,85.22581,-1.34392
65,66,G206.4094-16.5197,85.22847,-1.87578
66,67,G206.8149-16.7218,85.23039,-2.31378
67,68,G206.3333-16.4755,85.23364000000001,-1.7905799999999998
68,69,G206.3853-16.5012,85.23409000000001,-1.8467
69,70,G206.2854-16.4492,85.23546999999999,-1.73775
70,71,G206.3781-16.4945,85.23685,-1.8374400000000002
71,72,G205.9884-16.2965,85.23725999999999,-1.4144700000000001
72,73,G206.7831-16.6968,85.23839,-2.27517
73,74,G205.9861-16.2915,85.24068,-1.41011
74,75,G205.8716-16.2308,85.2428,-1.28461
75,76,G206.7095-16.6543,85.24325999999999,-2.19297
76,77,G206.1492-16.3713,85.24327,-1.58581
77,78,G206.9194-16.7587,85.24422,-2.4195
78,79,G206.2289-16.4106,85.24422,-1.67175
79,80,G206.8631-16.7267,85.24756,-2.35689
80,81,G206.5243-16.5559,85.2478,-1.9900900000000001
81,82,G206.4365-16.5113,85.24809,-1.89484
82,83,G206.3365-16.4597,85.24901,-1.7859099999999999
83,84,G206.4484-16.5157,85.24947,-1.907
84,85,G206.1337-16.3557,85.25018,-1.56539
85,86,G206.4476-16.5145,85.25022,-1.90578
86,87,G206.5350-16.5582,85.25056,-2.00028
87,88,G206.6101-16.5943,85.25209,-2.08078
88,89,G206.4445-16.5096,85.25318,-1.90084
89,90,G205.7556-16.1598,85.25331,-1.15289
90,91,G206.4261-16.5000,85.25343000000001,-1.88078
91,92,G206.5333-16.5519,85.25534,-1.9958599999999997
92,93,G206.3705-16.4696,85.25546999999999,-1.81942
93,94,G206.4817-16.5254,85.2558,-1.93975
94,95,G206.4014-16.4815,85.25876,-1.8511400000000002
95,96,G206.4270-16.4943,85.25889000000001,-1.8789200000000001
96,97,G206.2879-16.4221,85.26055,-1.72717
97,98,G206.4068-16.4792,85.26326,-1.8546900000000002
98,99,G206.6413-16.5946,85.26576999999999,-2.10734
99,100,G206.1847-16.3617,85.26772,-1.6114700000000002
100,101,G206.6383-16.5905,85.26801,-2.10292
101,102,G206.4218-16.4775,85.27147,-1.86664
102,103,G206.4631-16.4976,85.27213,-1.9110599999999998
103,104,G207.0246-16.7793,85.27271999999999,-2.5183299999999997
104,105,G206.4239-16.4767,85.2731,-1.868
105,106,G206.9663-16.7496,85.27314,-2.45503
106,107,G207.1576-16.8448,85.27355,-2.66148
107,108,G206.0292-16.2740,85.27547,-1.43855
108,109,G205.7408-16.1271,85.27551,-1.1249799999999999
109,110,G206.4102-16.4664,85.27606,-1.85162
110,111,G206.4314-16.4770,85.27618000000001,-1.87453
111,112,G207.1209-16.8190,85.28022,-2.61842
112,113,G206.4671-16.4899,85.28076,-1.9108599999999998
113,114,G206.8746-16.6932,85.2823,-2.35112
114,115,G206.4573-16.4820,85.28335,-1.8988599999999998
115,116,G206.3781-16.4406,85.28455,-1.8124
116,117,G206.4606-16.4806,85.28605,-1.90095
117,118,G206.4976-16.4986,85.28664,-1.94078
118,119,G206.3328-16.4134,85.2883,-1.7612599999999998
119,120,G205.9245-16.2042,85.29014000000001,-1.31703
120,121,G206.4649-16.4755,85.29247,-1.90222
121,122,G206.4183-16.4511,85.29326,-1.8513099999999998
122,123,G206.3898-16.4365,85.29343,-1.82034
123,124,G206.5239-16.5017,85.29559,-1.9645
124,125,G206.4790-16.4789,85.29571999999999,-1.9158400000000002
125,126,G206.6382-16.5575,85.29727,-2.08753
126,127,G206.4967-16.4854,85.29793000000001,-1.93383
127,128,G206.3913-16.4304,85.29951,-1.8188099999999998
128,129,G206.3592-16.4124,85.30105999999999,-1.7832
129,130,G206.8575-16.6628,85.30171999999999,-2.32248
130,131,G206.4457-16.4550,85.30205,-1.87642
131,132,G206.3718-16.4166,85.30301,-1.79584
132,133,G206.4119-16.4324,85.30693000000001,-1.83725
133,134,G206.3637-16.4072,85.30768,-1.7845
134,135,G206.9493-16.7010,85.30868000000001,-2.41814
135,136,G206.5201-16.4837,85.30984000000001,-1.95292
136,137,G206.3488-16.3970,85.30998000000001,-1.7671700000000001
137,138,G206.4070-16.4260,85.31043000000001,-1.8300299999999998
