name,catalog,cat_name,significance,var_flag
2CXO J161151.4-603755,VERONCAT,1WGA J1611.8-6037,210.01817014869079,1
2CXO J134105.1+395945,VERONCAT,RXS J13410+3959  ,184.24094768835627,0
2CXO J092603.2+124402,VERONCAT,MARK  705        ,133.28140047356942,1
2CXO J151106.4+054122,VERONCAT,SDSS J15111+0541 ,76.9513588143857,1
2CXO J141449.5+361240,VERONCAT,SDSS J14148+3612 ,72.20846293730831,1
2CXO J074312.5+742936,VERONCAT,RXS J07432+7429  ,67.8800917386461,0
2CXO J172109.5+354215,VERONCAT,B2 1719+35       ,64.81822873388904,0
2CXO J091028.9+542718,VERONCAT,SDSS J09104+5427 ,63.79128935656008,0
2CXO J095243.0+515121,VERONCAT,SDSS J09527+5151 ,63.06169623487904,0
2CXO J121651.8+375438,VERONCAT,MS 12143+3811    ,59.01158096427589,1
2CXO J155229.9+200721,VERONCAT,SDSS J15524+2007 ,57.98816817643032,0
2CXO J022430.5-000038,VERONCAT,SDSS J02245-0000 ,55.60889314541206,0
2CXO J222934.1+305712,VERONCAT,RXS J22295+3057  ,55.36898820386034,0
2CXO J224022.8+032450,VERONCAT,CXOMP J22403+0324,55.164399039622346,1
2CXO J154023.6-031347,VERONCAT,CXOU J15404-0313 ,54.6718503085349,0
2CXO J205829.9-423634,VERONCAT,XMM J20584-4236  ,52.57326707464996,0
2CXO J033243.2-274914,VERONCAT,CDFS J03327-2749 ,51.88103269149727,1
2CXO J015841.4-432503,VERONCAT,CTQ 414          ,51.630561545477114,1
2CXO J215340.8+174415,VERONCAT,A2390-20         ,45.73510067266147,0
2CXO J025134.5+431515,VERONCAT,S4 0248+43       ,45.4587928688737,0
2CXO J075052.0+123104,VERONCAT,PKS 0748+126     ,45.237896960868255,0
2CXO J141531.4+113157,VERONCAT,CRSS 1415.5+1131 ,45.17157772198778,0
2CXO J150940.7+571811,VERONCAT,RGB J1509+573    ,45.01805802999801,0
2CXO J111520.7+404326,VERONCAT,MS 11125+4059    ,44.83855594762268,0
2CXO J000338.9+160220,VERONCAT,SDSS J00036+1602 ,44.672725680495184,1
2CXO J062603.0+820225,VERONCAT,S5 0615+82       ,43.664530951689215,0
2CXO J141500.4+520658,VERONCAT,SDSS J14150+5206 ,43.56669656392419,0
2CXO J123651.1+453904,VERONCAT,MCG +08.23.067   ,42.467581538745534,0
2CXO J020011.5-093126,VERONCAT,SDSS J02001-0931 ,41.4611970836479,0
2CXO J011351.0+131617,VERONCAT,MARK  975        ,40.973872621077795,0
2CXO J105335.0+572541,VERONCAT,1WGA J1053.5+5725,40.80318333598323,0
2CXO J105239.6+572431,VERONCAT,1WGA J1052.6+5724,40.454645082189415,1
2CXO J141429.9-002309,VERONCAT,2QZ J141429-0023 ,40.307593091493246,0
2CXO J112956.5+364919,VERONCAT,FIRST J11299+3649,39.97162143323965,0
2CXO J123622.9+621527,VERONCAT,Q 1234+6231      ,39.301083654278415,1
2CXO J004013.8+405004,VERONCAT,1ES 0037+405     ,39.273380295214615,0
2CXO J123618.5+621115,VERONCAT,CXOH J12363+6211 ,39.26361694443555,0
2CXO J095849.0+013219,VERONCAT,SDSS J09588+0132 ,38.917084253527115,0
2CXO J100434.9+411242,VERONCAT,SDSS J10045+4112B,38.10084739468225,1
2CXO J085024.7+374709,VERONCAT,SDSS J08504+3747 ,38.09077446492205,0
2CXO J033303.6-274518,VERONCAT,CDFS J03330-2745B,37.796013862618274,1
2CXO J033209.4-274807,VERONCAT,CDFS J03321-2748 ,37.48047944211296,1
2CXO J221935.3-271903,VERONCAT,PMN J2219-2719   ,37.359703207901774,0
2CXO J100433.8+411234,VERONCAT,SDSS J10045+4112C,37.23401415010147,0
2CXO J114356.8+195649,VERONCAT,Q 1141+2013      ,37.157155691298215,0
2CXO J140052.5-014511,VERONCAT,SDSS J14008-0145 ,36.24976057314816,1
2CXO J033252.8-275120,VERONCAT,CDFS J03328-2751 ,35.90712942271969,1
2CXO J123716.6+621733,VERONCAT,Q J12372+6217    ,35.85048680846988,1
2CXO J012657.2+330730,VERONCAT,RXS J01269+3307  ,34.543623699111926,0
2CXO J033214.9-275127,VERONCAT,CDFS J03322-2751C,34.004342566139336,1
2CXO J132529.7+651513,VERONCAT,4C 65.15         ,33.15981988860799,0
