,,precision,recall,f1_score
AGN,all,96.8$\pm$0.1,97.6$\pm$0.2,97.2$\pm$0.1
AGN,x-ray+optical,94.9$\pm$0.2,97.0$\pm$0.1,96.0$\pm$0.1
AGN,X-ray+IR,95.8$\pm$0.1,96.4$\pm$0.2,96.1$\pm$0.2
STAR,all,96.1$\pm$0.1,95.7$\pm$0.1,95.9$\pm$0.1
STAR,x-ray+optical,94.1$\pm$0.3,93.2$\pm$0.1,93.7$\pm$0.2
STAR,X-ray+IR,95.2$\pm$0.2,94.4$\pm$0.2,94.8$\pm$0.2
YSO,all,92.8$\pm$0.2,95.4$\pm$0.3,94.1$\pm$0.2
YSO,x-ray+optical,88.6$\pm$0.3,93.9$\pm$0.4,91.2$\pm$0.3
YSO,X-ray+IR,91.7$\pm$0.7,95.0$\pm$0.2,93.3$\pm$0.4
HMXB,all,91.8$\pm$0.2,90.7$\pm$0.7,91.2$\pm$0.4
HMXB,x-ray+optical,91.5$\pm$0.1,90.4$\pm$0.4,90.9$\pm$0.2
HMXB,X-ray+IR,91.9$\pm$0.2,90.8$\pm$0.3,91.3$\pm$0.2
LMXB,all,94.8$\pm$1.3,80.7$\pm$0.8,87.2$\pm$0.6
LMXB,x-ray+optical,95.9$\pm$1.6,81.1$\pm$0.4,87.9$\pm$0.9
LMXB,X-ray+IR,94.4$\pm$1.7,81.5$\pm$0.3,87.5$\pm$0.8
ULX,all,71.7$\pm$1.2,71.2$\pm$1.1,71.5$\pm$1.0
ULX,x-ray+optical,69.9$\pm$2.0,61.8$\pm$1.7,65.6$\pm$1.6
ULX,X-ray+IR,64.6$\pm$2.0,63.6$\pm$2.0,64.1$\pm$2.0
CV,all,60.6$\pm$1.2,54.5$\pm$1.5,57.4$\pm$1.3
CV,x-ray+optical,59.8$\pm$1.5,51.1$\pm$1.0,55.1$\pm$1.2
CV,X-ray+IR,58.5$\pm$0.6,54.8$\pm$1.3,56.6$\pm$0.7
PULSAR,all,42.1$\pm$1.9,45.3$\pm$1.9,43.7$\pm$1.9
PULSAR,x-ray+optical,33.2$\pm$2.1,27.7$\pm$1.5,30.2$\pm$1.3
PULSAR,X-ray+IR,35.3$\pm$2.1,40.0$\pm$2.6,37.5$\pm$2.2
