name,class,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,h-csc,b-csc,m-csc,s-csc,u-csc,0p3_8_csc,FUV,NUV,u-sdss,g-sdss,r-sdss,i-sdss,z-sdss,W1,W2,W3,W4,4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J,H,K,3.6 microns (IRAC),5.8 microns (IRAC),G,Bp,Rp,B-R,G-J,G-W2,Bp-H,Bp-W3,Rp-K,J-H,J-W1,W1-W2
2CXO J095753.4+024735,AGN,7.338257059405548,6.546543129123322,3.2812500000000107,4.624999999999999,3.6562499999999822,10.0,0.0,4.594975271824461,6.25,6.377654986585928,0.0,1.0162392882510172e-07,0.005633964115850663,0.002481403230604757,0.004700501589620542,0.007920542125129229,0.004020286978073578,0.5381119245047358,0.5962758708184279,9.134633043435676,9.559264298695489,8.2443729903537,8.975276646509524,9.723160320612235,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,6.52375290948583e-06,5.517664636397466e-05,1.2569788513284592e-07,7.465581086213445,6.662729162729162,1.92215196714224,3.640273568427495e-06,1.2076977991766434e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J163618.1+410038,AGN,7.357290984004254,1.8050847630885425,4.274999999999983,5.762499999999981,3.5562499999999826,10.0,0.0,4.6672514811469625,6.25,5.708373400519863,0.0,1.6501976274974183e-09,0.0032815968467326713,0.00145732327033872,0.002443355756547162,0.004457778853712407,0.0017764831799342556,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,1.7166551957063024e-05,0.00014631327179990644,0.0007002838677239253,7.465581086213445,6.662729162729162,1.92215196714224,1.4481235301060324e-05,3.0243956887464727e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J222906.0-080251,AGN,2.129499747963668,1.5490233277841017,3.081250000000013,7.068749999999985,1.643750000000015,10.0,0.0,4.413044571284178,6.25,6.90868156971496,0.0,3.466975663458172e-10,0.018180780558221414,0.004332697703074249,0.005506264125252375,0.035990248120044706,0.002884534438274662,0.5381119245047358,0.5962758708184279,5.919993143668709,8.572366480489451,6.344308681672026,7.790365708173928,8.159175568535941,8.164263526357269,7.039813910984651,7.104533709184871,0.5354314626228168,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,6.823558897243108
2CXO J082515.0+115752,AGN,6.457807475526665,5.902432395246184,10.0,10.0,0.0,10.0,0.0,4.012141438706873,6.25,0.3790814418775285,0.0,3.466975663458172e-10,0.011677295560795851,0.001594586754924503,0.0052245965353202,0.02488359077204541,0.0033277549416108236,0.5381119245047358,0.5962758708184279,8.62530557607467,8.438395006517787,5.943408360128617,7.556049199884818,7.939935935529692,7.787565487505217,7.160273318241294,7.042518205308903,0.5378591341364656,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,8.208073463577117,7.630644033078522,7.816128821335415,2.6796064074739094,0.0,4.092377989168779,0.0,4.697924406731022,0.0,3.0444884849313256,3.770284776157101,5.7182957393483695
2CXO J151451.7+311654,AGN,8.267490575662379,1.3672375187482266,1.987499999999992,2.575,4.23750000000002,10.0,0.0,5.32818620747994,6.25,4.4691633113287335,1.0,1.1926240185928247e-08,0.018429042335817755,0.011303144620040468,0.034337580266009166,0.008219798493244545,0.021887613518812615,0.5381119245047358,0.5962758708184279,4.423721273808408,7.9844334281663585,4.996913183279744,6.995762886173845,7.345962633890396,7.11646344290417,6.124737793100584,5.9389241249706375,0.4916079606125973,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,8.77611090011394,8.902853902853902,2.5145238867271944,5.187307533541356e-05,3.614976369594994e-05,7.471428042848867,6.821250405865308,7.191197555211162,2.2722916738563903,3.4753155067582195,4.273631969332796,2.796549682611162,4.672200047942052,3.690731674016402,3.724458415909252,5.153964345099031,6.766416040100247
2CXO J095915.0+014926,AGN,7.322573544860988,6.583356441705952,4.637500000000001,4.912499999999999,4.731250000000001,6.045991368508298,0.0007565376300506277,8.082888023372979,5.0,9.527362136464216,2.0,2.591288492120929e-09,0.002786637966608885,0.0006347239784190457,0.002722637718606825,0.004587614502400085,0.0019759324064355295,0.5381119245047358,0.5962758708184279,8.497769651755506,9.308305660485075,7.97663451232583,8.596130376952292,9.02120504978766,9.073206917335067,7.978774221686847,7.7228094902513496,0.5391939055590989,3.13413031938591e-05,0.00013516142138175608,0.00017028571827612307,7.465581086213445,6.662729162729162,3.0859543882403804,2.513115143289964e-05,3.923111237740474e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,6.522807017543862
2CXO J004314.0-092145,AGN,0.9662472988425764,3.2312482153441886,5.268749999999999,10.0,0.0,10.0,0.0,4.987926481480057,6.25,6.320047098834483,0.0,3.466975663458172e-10,0.011983276463155477,0.0019273598649278078,0.0023091660466839593,0.02810875903553801,0.00969904967706816,8.036888942858134,8.642895724767362,5.459499546117865,7.9954368685255375,4.538447404685346,6.5396707862461305,6.78298626568741,6.471556400389449,6.11850713410455,6.330044632370215,0.5138063739366618,2.073167683209241e-05,0.00012423329156268815,0.000437847633213571,8.112656665400683,8.165753165753166,2.3276048421962825,5.187307533541356e-05,3.614976369594994e-05,9.272077191058381,7.177954398778192,7.089442242272718,3.3018889028405427,7.564652627014126,6.731826385275178,4.150585712290262,4.754002737201919,4.672667725072992,3.9465591471331964,4.8570857275157335,5.386967418546367
2CXO J125955.6+124153,AGN,9.209882606319919,8.644189334010758,3.5500000000000145,5.043749999999998,3.5312500000000084,8.3072605654517,0.0013392903254307346,5.587374452241296,6.25,8.171670824722261,1.0,3.466975663458172e-10,0.005668908525722418,0.00269600283886471,0.0053212107482256965,0.006313794253812541,0.003854079289322517,8.223658189640219,8.710760069123403,6.2568104183586435,8.670323605811772,6.824437299035369,8.11551277304702,8.499992752887975,3.3893550929574854,4.0648819290120235,7.699553676297863,0.5354314626228168,7.455967970733858e-05,0.0010592611065055153,0.000437847633213571,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,8.806115342685287,8.061790236784828,8.382519398725906,2.370283995850176,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,5.160401002506265
2CXO J151451.3+552602,AGN,7.8838472001174065,2.5141567462886907,3.456249999999984,4.93125,3.5312500000000084,4.9727909346767,0.0009891388238819367,3.990759770558181,3.75,7.198184493298638,0.0,7.291777669096858e-09,0.010722148357634608,0.004892977852918469,0.010257751115944656,0.012411840567909026,0.008618699700186264,0.5381119245047358,0.5962758708184279,6.325128862297933,8.74867979105017,7.1569131832797455,8.254802747953432,8.77793399330367,8.99531735360935,7.858314814430207,8.236786469344608,0.5512337229552018,4.777774311322517e-05,0.0007826554435844383,0.0013722019127028187,7.465581086213445,6.662729162729162,1.92215196714224,5.187307533541356e-05,3.614976369594994e-05,8.999986864009369,8.248078403155526,8.678916080308001,2.120168182756827,0.0,4.372231754220499,0.0,4.4568077295712385,0.0,3.0444884849313256,3.770284776157101,6.6451127819548885
2CXO J003345.4-433930,AGN,0.9126543691111336,8.721749243640382,6.80625,8.57499999999999,2.4437500000000068,10.0,0.0,3.2421190752197773,6.25,0.5962414021425986,0.0,3.466975663458172e-10,0.00726849323392155,0.0018039257713216273,0.0018199116725305289,0.014521098920563488,0.002521647651168179,0.5381119245047358,0.5962758708184279,5.5111843904190945,3.891642958409849,6.391639871382639,7.737052120613765,8.217790210601077,9.014557930363024,7.992273982844919,7.87221047686164,0.5486895948744777,3.3385283086219986e-05,0.0002738640498388029,0.0006861079395672499,7.465581086213445,6.662729162729162,2.9454442282749684,1.9059660646325008e-05,3.313263765310124e-05,7.9895701281083555,7.402635919780973,4.784757047039582,2.0460309411217583,0.0,0.0,0.0,0.0,0.0,3.0444884849313256,3.770284776157101,6.363408521303258
