,class,recall_score,precision_score,f1_score
12,PULSAR,0.44554455445544555,0.37815126050420167,0.4090909090909091
52,PULSAR,0.44554455445544555,0.36885245901639346,0.40358744394618834
20,PULSAR,0.45544554455445546,0.36507936507936506,0.4052863436123348
28,PULSAR,0.46534653465346537,0.3949579831932773,0.42727272727272725
60,PULSAR,0.4752475247524752,0.38095238095238093,0.4229074889867841
36,PULSAR,0.4752475247524752,0.4067796610169492,0.4383561643835616
73,CV,0.4879518072289157,0.3767441860465116,0.42519685039370075
68,PULSAR,0.49504950495049505,0.4065040650406504,0.44642857142857145
76,PULSAR,0.504950495049505,0.1705685618729097,0.255
49,CV,0.5240963855421686,0.5958904109589042,0.5576923076923077
44,PULSAR,0.5247524752475248,0.44166666666666665,0.4796380090497737
9,CV,0.5301204819277109,0.5534591194968553,0.5415384615384616
4,PULSAR,0.5346534653465347,0.4,0.4576271186440678
65,CV,0.536144578313253,0.5816993464052288,0.5579937304075234
1,CV,0.5421686746987951,0.5625,0.5521472392638036
33,CV,0.5481927710843374,0.5548780487804879,0.5515151515151516
41,CV,0.5662650602409639,0.5875,0.5766871165644172
17,CV,0.5662650602409639,0.5696969696969697,0.56797583081571
25,CV,0.572289156626506,0.5654761904761905,0.5688622754491018
57,CV,0.572289156626506,0.6050955414012739,0.588235294117647
78,ULX,0.6682464454976303,0.5486381322957199,0.6025641025641025
38,ULX,0.6824644549763034,0.6457399103139013,0.663594470046083
30,ULX,0.6872037914691943,0.6904761904761905,0.6888361045130642
62,ULX,0.6872037914691943,0.6561085972850679,0.6712962962962963
22,ULX,0.6919431279620853,0.6822429906542056,0.6870588235294117
14,ULX,0.7014218009478673,0.6851851851851852,0.6932084309133489
70,ULX,0.7014218009478673,0.6491228070175439,0.6742596810933942
46,ULX,0.7061611374407583,0.7061611374407583,0.7061611374407583
6,ULX,0.7203791469194313,0.6909090909090909,0.7053364269141532
54,ULX,0.7203791469194313,0.672566371681416,0.6956521739130436
75,LMXB,0.7622377622377622,0.7218543046357616,0.7414965986394558
59,LMXB,0.7972027972027972,0.912,0.8507462686567164
35,LMXB,0.8111888111888111,0.928,0.8656716417910448
43,LMXB,0.8111888111888111,0.9666666666666667,0.8821292775665399
11,LMXB,0.8111888111888111,0.943089430894309,0.8721804511278196
67,LMXB,0.8111888111888111,0.943089430894309,0.8721804511278196
19,LMXB,0.8111888111888111,0.928,0.8656716417910448
27,LMXB,0.8111888111888111,0.9586776859504132,0.8787878787878788
3,LMXB,0.8181818181818182,0.936,0.873134328358209
51,LMXB,0.8181818181818182,0.936,0.873134328358209
74,HMXB,0.8288770053475936,0.8895265423242468,0.8581314878892735
79,YSO,0.8746736292428199,0.907859078590786,0.8909574468085107
66,HMXB,0.8783422459893048,0.8950953678474114,0.8866396761133604
18,HMXB,0.8783422459893048,0.8842530282637954,0.8812877263581488
26,HMXB,0.8810160427807486,0.8905405405405405,0.885752688172043
42,HMXB,0.8877005347593583,0.8997289972899729,0.8936742934051144
10,HMXB,0.8877005347593583,0.8924731182795699,0.8900804289544235
34,HMXB,0.8903743315508021,0.9012178619756428,0.8957632817753867
50,HMXB,0.8903743315508021,0.9061224489795918,0.8981793661496965
58,HMXB,0.893048128342246,0.908843537414966,0.9008766014834795
2,HMXB,0.8957219251336899,0.9041835357624831,0.8999328408327736
77,STAR,0.8985663082437276,0.9507015547971179,0.923899023401511
72,AGN,0.9311064718162839,0.9529914529914529,0.941921858500528
15,YSO,0.9329852045256745,0.9185946872322194,0.92573402417962
63,YSO,0.9329852045256745,0.9225473321858864,0.9277369104283859
55,YSO,0.9347258485639687,0.9148211243611585,0.9246663796814464
39,YSO,0.9373368146214099,0.9197267292912041,0.9284482758620689
31,YSO,0.9373368146214099,0.928448275862069,0.9328713728886964
7,YSO,0.938207136640557,0.9166666666666666,0.9273118279569892
23,YSO,0.939077458659704,0.9238013698630136,0.9313767803193783
47,YSO,0.9425587467362925,0.9224872231686542,0.9324149806284977
71,YSO,0.9434290687554395,0.9132266217354675,0.9280821917808219
69,STAR,0.9455197132616487,0.9557971014492753,0.9506306306306306
5,STAR,0.9465949820788531,0.9593171086087904,0.9529135847014252
37,STAR,0.9483870967741935,0.9555796316359697,0.9519697787371829
13,STAR,0.9483870967741935,0.9538572458543619,0.9511143062544932
61,STAR,0.9494623655913978,0.9545945945945946,0.952021563342318
53,STAR,0.9498207885304659,0.9515260323159784,0.9506726457399103
29,STAR,0.9505376344086022,0.9491768074445239,0.9498567335243553
21,STAR,0.9505376344086022,0.9577464788732394,0.9541284403669725
45,STAR,0.9526881720430107,0.9571480014404034,0.9549128794682953
48,AGN,0.9653444676409186,0.9673640167364017,0.9663531870428422
16,AGN,0.9661795407098122,0.9669870455495194,0.9665831244778613
24,AGN,0.9665970772442589,0.9682141363446257,0.9674049310488927
32,AGN,0.9670146137787057,0.9674185463659147,0.9672165378993527
56,AGN,0.9686847599164927,0.9658617818484596,0.9672712111736502
0,AGN,0.9686847599164927,0.9694943585457585,0.9690893901420218
64,AGN,0.9695198329853862,0.9695198329853862,0.9695198329853862
40,AGN,0.969937369519833,0.9667082813150228,0.9683201333889121
8,AGN,0.9707724425887265,0.9683465222823824,0.969557964970809
