,class,recall_score,precision_score,f1_score
60,PULSAR,0.44554455445544555,0.41284403669724773,0.4285714285714286
44,PULSAR,0.44554455445544555,0.39473684210526316,0.4186046511627907
20,PULSAR,0.46534653465346537,0.3671875,0.4104803493449782
12,PULSAR,0.4752475247524752,0.4067796610169492,0.4383561643835616
36,PULSAR,0.48514851485148514,0.4016393442622951,0.43946188340807174
76,PULSAR,0.49504950495049505,0.4065040650406504,0.44642857142857145
68,PULSAR,0.49504950495049505,0.4166666666666667,0.4524886877828054
28,PULSAR,0.49504950495049505,0.4166666666666667,0.4524886877828054
4,PULSAR,0.504950495049505,0.4396551724137931,0.4700460829493088
52,PULSAR,0.5148514851485149,0.4126984126984127,0.45814977973568277
49,CV,0.5542168674698795,0.5542168674698795,0.5542168674698795
25,CV,0.5542168674698795,0.5609756097560976,0.5575757575757576
9,CV,0.5542168674698795,0.5476190476190477,0.5508982035928144
73,CV,0.5662650602409639,0.5595238095238095,0.562874251497006
1,CV,0.572289156626506,0.5459770114942529,0.5588235294117647
41,CV,0.5783132530120482,0.5614035087719298,0.5697329376854599
33,CV,0.5783132530120482,0.5783132530120482,0.5783132530120482
65,CV,0.5843373493975904,0.5739644970414202,0.5791044776119403
57,CV,0.5843373493975904,0.5418994413407822,0.5623188405797102
17,CV,0.5903614457831325,0.5903614457831325,0.5903614457831325
22,ULX,0.7109004739336493,0.7109004739336493,0.7109004739336493
30,ULX,0.7251184834123223,0.6830357142857143,0.7034482758620689
46,ULX,0.7345971563981043,0.670995670995671,0.7013574660633485
6,ULX,0.7345971563981043,0.6981981981981982,0.7159353348729791
38,ULX,0.7345971563981043,0.7110091743119266,0.7226107226107226
54,ULX,0.7440758293838863,0.6738197424892703,0.7072072072072072
70,ULX,0.7488151658767772,0.7181818181818181,0.7331786542923433
78,ULX,0.7488151658767772,0.6781115879828327,0.7117117117117118
62,ULX,0.7535545023696683,0.7035398230088495,0.7276887871853547
14,ULX,0.7582938388625592,0.6896551724137931,0.7223476297968399
51,LMXB,0.7972027972027972,0.9661016949152542,0.8735632183908045
75,LMXB,0.8041958041958042,0.9426229508196722,0.8679245283018867
11,LMXB,0.8041958041958042,0.9349593495934959,0.8646616541353382
35,LMXB,0.8041958041958042,0.9349593495934959,0.8646616541353382
59,LMXB,0.8111888111888111,0.9586776859504132,0.8787878787878788
67,LMXB,0.8111888111888111,0.943089430894309,0.8721804511278196
27,LMXB,0.8111888111888111,0.928,0.8656716417910448
19,LMXB,0.8181818181818182,0.9669421487603306,0.8863636363636365
3,LMXB,0.8181818181818182,0.9285714285714286,0.8698884758364314
43,LMXB,0.8181818181818182,0.9512195121951219,0.8796992481203008
42,HMXB,0.8943850267379679,0.9151846785225718,0.9046653144016227
58,HMXB,0.8957219251336899,0.907859078590786,0.9017496635262451
2,HMXB,0.8970588235294118,0.9129251700680272,0.9049224544841538
10,HMXB,0.8970588235294118,0.9179206566347469,0.90736984448952
74,HMXB,0.9010695187165776,0.9170068027210885,0.9089683074848282
26,HMXB,0.9010695187165776,0.9022757697456493,0.9016722408026757
18,HMXB,0.9024064171122995,0.9097035040431267,0.906040268456376
66,HMXB,0.9037433155080213,0.9110512129380054,0.9073825503355705
34,HMXB,0.9050802139037433,0.9075067024128687,0.9062918340026773
50,HMXB,0.9064171122994652,0.9149797570850202,0.9106783075889859
13,STAR,0.9494623655913978,0.9671412924424972,0.9582202930005426
29,STAR,0.9494623655913978,0.9636231356857039,0.9564903412168262
31,YSO,0.9495213228894691,0.920675105485232,0.9348757497857756
5,STAR,0.9505376344086022,0.966824644549763,0.9586119645761794
21,STAR,0.9512544802867383,0.9668488160291439,0.958988256549232
69,STAR,0.9512544802867383,0.9661448853294503,0.9586418638251761
61,STAR,0.9516129032258065,0.9679183375865841,0.9596963672510392
39,YSO,0.9521322889469104,0.9271186440677966,0.9394589952769429
53,STAR,0.9523297491039426,0.9651289502361061,0.9586866317878405
77,STAR,0.9523297491039426,0.9644283121597096,0.9583408476104599
55,YSO,0.9530026109660574,0.9343003412969283,0.9435588108573889
37,STAR,0.953405017921147,0.9665697674418605,0.959942259112234
45,STAR,0.953405017921147,0.9648168298875589,0.9590769785469623
23,YSO,0.9538729329852045,0.9248945147679325,0.939160239931448
47,YSO,0.9547432550043516,0.9296610169491526,0.9420352082438815
15,YSO,0.9556135770234987,0.9234650967199327,0.9392643284858854
7,YSO,0.9556135770234987,0.9234650967199327,0.9392643284858854
71,YSO,0.9564838990426457,0.9313559322033899,0.9437526835551738
79,YSO,0.9564838990426457,0.9297800338409475,0.9429429429429429
63,YSO,0.9564838990426457,0.9227539882451721,0.9393162393162393
24,AGN,0.9674321503131524,0.969861866889912,0.9686454849498328
72,AGN,0.9691022964509395,0.9731656184486374,0.9711297071129709
48,AGN,0.969937369519833,0.970342522974102,0.970139903946544
40,AGN,0.9703549060542798,0.9699499165275459,0.9701523690252558
64,AGN,0.9707724425887265,0.9679433805162365,0.969355847404628
8,AGN,0.9711899791231733,0.9679567207657095,0.9695706544393496
56,AGN,0.9728601252609603,0.9724540901502504,0.9726570653308286
16,AGN,0.9728601252609603,0.9688149688149689,0.9708333333333333
0,AGN,0.9728601252609603,0.9716430358632193,0.9722511996661799
32,AGN,0.9732776617954071,0.9728714524207012,0.9730745147150909
