,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J230957.6-000126,AGN,AGN,0.9794683933528144,0.9794683933528144,0.00032993572516536813,0.011861932871087564,4.9475194147842066e-05,0.0008504334449936996,0.001980078852212825,0.00515819604681739,0.00030155451276103133
2CXO J171940.6-355911,YSO,YSO,0.983418737014188,0.0007739099810634174,0.006564829660142967,0.0066383456854324655,3.0187843102539014e-05,0.00021919911532953168,0.002268089174081461,8.670152665946803e-05,0.983418737014188
2CXO J203149.6+412826,STAR,STAR,0.9999876367061201,4.941138381814006e-06,1.005174396119158e-06,3.3759153573376013e-06,2.604098867758463e-07,9.04486685555692e-07,0.9999876367061201,4.808940817504592e-07,1.395275090387243e-06
2CXO J215334.8+173631,AGN,AGN,0.9996874568893677,0.9996874568893677,6.77056289324688e-06,4.362648194534e-05,3.24325850761584e-06,1.1054949847930308e-05,0.00020011058529204287,3.4019420720702316e-05,1.3717851425567224e-05
2CXO J231821.0+002936,AGN,AGN,0.9940560021340576,0.9940560021340576,1.4866984929644052e-05,0.0003758565086509189,7.839445733331203e-06,5.2602512656724345e-05,0.005357876913304365,8.755060972285428e-05,4.74048909444416e-05
2CXO J133134.3+623800,AGN,AGN,0.9999846219945862,0.9999846219945862,5.530005043949969e-07,6.871631308453154e-06,2.5679331162154256e-07,3.573603314044904e-07,5.233343591588841e-06,9.265507153904014e-07,1.179325651165814e-06
2CXO J133441.8+380011,AGN,AGN,0.9999512576768967,0.9999512576768967,1.5861182611291473e-06,2.4933270667357136e-05,3.9605377324320114e-07,2.15128658235782e-06,8.856383980326494e-06,8.412538562819134e-06,2.4066712758774913e-06
2CXO J011517.7+001715,AGN,AGN,0.9999672928300564,0.9999672928300564,8.878677506290383e-07,1.553845444231793e-05,4.6882702286028043e-07,9.483013339768745e-07,7.3294250395404675e-06,5.496442884022467e-06,2.0378514699047473e-06
2CXO J145600.0-684339,PULSAR,STAR,0.898918135685716,0.001580962591394255,0.07694313275627743,0.0044904582144694805,4.118829716095856e-05,0.0178430235044078,0.898918135685716,8.421860470901607e-05,9.888034586507135e-05
2CXO J192107.4+374756,CV,CV,0.4885465719169854,0.029960022401400995,0.4885465719169854,0.0036833108587949327,8.080511707824725e-05,0.0008022449470107007,0.47648842505430306,0.00018147871485980752,0.00025714098956683884
2CXO J100139.8+023132,AGN,AGN,0.9940834774359415,0.9940834774359415,9.847744143761305e-05,0.0017644241205186843,5.3184094865634875e-06,1.2479715901303318e-05,0.00020432742019827531,0.0038100438004061345,2.1451656110028085e-05
2CXO J174033.5-534703,STAR,STAR,0.9996407662125594,3.270196781431484e-05,4.7142387986636434e-05,0.00019348524011637803,2.6646788416510286e-06,6.0426707940934594e-05,0.9996407662125594,8.136029872991884e-06,1.4676774867634078e-05
2CXO J100514.5-074257,LMXB,LMXB,0.999852767673194,0.0001321777929113536,1.5532843518194535e-06,8.716899094584456e-06,0.999852767673194,1.2142915732604853e-07,1.2463627370444104e-06,3.223858538517614e-06,1.9270001529504754e-07
2CXO J095849.0+013219,AGN,AGN,0.9998079880366836,0.9998079880366836,3.7490616134137055e-06,1.5886394949393414e-05,3.549135559003015e-06,2.0913556476053183e-06,1.773991362508288e-05,0.00014664522886202765,2.350873059952772e-06
