name,class,prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J004829.5-732959,HMXB,0.2675,0.175,0.2175,0.2675,0.02,0.0425,0.1,0.1575,0.02
2CXO J005449.0-725128,HMXB,0.4,0.1425,0.1325,0.4,0.0075,0.0375,0.0625,0.195,0.0225
2CXO J010049.1-731526,HMXB,0.4875,0.1025,0.0925,0.4875,0.035,0.0425,0.0575,0.1775,0.005
2CXO J010049.8-731045,HMXB,0.3025,0.2275,0.0725,0.3025,0.015,0.07,0.12,0.115,0.0775
2CXO J010647.7-730940,STAR,0.1825,0.1425,0.1025,0.1675,0.1125,0.145,0.1825,0.125,0.0225
2CXO J010659.4-731737,AGN,0.18,0.18,0.125,0.1525,0.1275,0.1075,0.17,0.115,0.0225
2CXO J011105.6-730106,AGN,0.2825,0.2825,0.0475,0.2125,0.0125,0.155,0.0625,0.2075,0.02
2CXO J011132.4-730210,STAR,0.805,0.02,0.01,0.0525,0.0025,0.0,0.805,0.005,0.105
2CXO J011840.1-724354,AGN,0.535,0.535,0.04,0.205,0.02,0.005,0.0475,0.1075,0.04
2CXO J012027.3-724624,AGN,0.8025,0.8025,0.0075,0.0425,0.0,0.0,0.0,0.1475,0.0
2CXO J012106.5-730352,STAR,0.8075,0.0125,0.005,0.0925,0.0025,0.005,0.8075,0.03,0.045
2CXO J012141.7-732050,AGN,0.6675,0.6675,0.01,0.205,0.015,0.0,0.015,0.08,0.0075
2CXO J164635.5-454256,STAR,0.5125,0.01,0.0575,0.03,0.0075,0.08,0.5125,0.01,0.2925
2CXO J164648.6-454640,STAR,0.4675,0.05,0.0125,0.0225,0.015,0.0175,0.4675,0.0,0.415
2CXO J164715.0-454844,YSO,0.5925,0.01,0.015,0.0075,0.0,0.005,0.37,0.0,0.5925
2CXO J164723.5-455605,STAR,0.385,0.09,0.0375,0.04,0.025,0.05,0.385,0.0075,0.365
2CXO J164727.9-454532,YSO,0.5925,0.0175,0.095,0.0175,0.03,0.145,0.0825,0.02,0.5925
2CXO J164824.7-460649,YSO,0.66,0.0525,0.0225,0.03,0.05,0.0575,0.12,0.0075,0.66
2CXO J164834.9-461243,YSO,0.475,0.0125,0.07,0.0425,0.0175,0.0525,0.32,0.01,0.475
2CXO J164908.3-460947,YSO,0.3675,0.1275,0.0975,0.0875,0.025,0.0425,0.24,0.0125,0.3675
2CXO J165038.2-433554,YSO,0.57,0.025,0.03,0.04,0.0025,0.025,0.305,0.0025,0.57
2CXO J165039.6-433933,YSO,0.5325,0.09,0.035,0.0875,0.0675,0.065,0.11,0.0125,0.5325
2CXO J165941.8-400551,STAR,0.5,0.03,0.0175,0.04,0.005,0.0,0.5,0.0,0.4075
2CXO J170013.0-400517,YSO,0.675,0.0275,0.0675,0.0075,0.0075,0.015,0.19,0.01,0.675
2CXO J170219.5-431454,YSO,0.345,0.0525,0.1125,0.0925,0.0375,0.085,0.2475,0.0275,0.345
2CXO J170442.5-410919,YSO,0.265,0.0675,0.245,0.055,0.18,0.105,0.065,0.0175,0.265
2CXO J171052.0-393315,STAR,0.785,0.02,0.005,0.015,0.05,0.0025,0.785,0.0,0.1225
2CXO J171104.3-393951,YSO,0.5975,0.0425,0.06,0.04,0.055,0.065,0.135,0.005,0.5975
2CXO J171115.7-394913,YSO,0.655,0.015,0.0275,0.01,0.03,0.21,0.0525,0.0,0.655
2CXO J171118.0-395516,YSO,0.4375,0.0775,0.05,0.04,0.025,0.0375,0.3225,0.01,0.4375
2CXO J171119.0-395502,STAR,0.6,0.02,0.0075,0.0525,0.0025,0.0,0.6,0.0,0.3175
2CXO J171123.3-395426,YSO,0.4775,0.0325,0.025,0.0575,0.0025,0.0125,0.3875,0.005,0.4775
2CXO J171136.6-395157,YSO,0.5275,0.0125,0.0525,0.0275,0.0325,0.0625,0.2825,0.0025,0.5275
2CXO J171138.3-395435,STAR,0.575,0.055,0.0075,0.0325,0.005,0.0025,0.575,0.005,0.3175
2CXO J171139.5-395855,YSO,0.71,0.0575,0.04,0.05,0.0425,0.03,0.07,0.0,0.71
2CXO J171149.1-400405,YSO,0.74,0.0125,0.01,0.0225,0.05,0.12,0.0375,0.0075,0.74
2CXO J171208.2-392350,HMXB,0.1875,0.155,0.155,0.1875,0.0225,0.1775,0.065,0.1375,0.1
2CXO J171249.8-393057,STAR,0.22,0.2125,0.13,0.07,0.0475,0.0675,0.22,0.07,0.1825
2CXO J171428.9-400540,YSO,0.5275,0.0175,0.015,0.0075,0.0275,0.3625,0.0425,0.0,0.5275
2CXO J171432.9-401555,STAR,0.62,0.03,0.005,0.0575,0.0025,0.0,0.62,0.0,0.285
2CXO J171440.4-383150,YSO,0.695,0.0125,0.02,0.01,0.04,0.0225,0.2,0.0,0.695
2CXO J171443.3-395756,YSO,0.34,0.0275,0.16,0.0425,0.025,0.0775,0.3125,0.015,0.34
2CXO J171459.5-402149,YSO,0.45,0.01,0.0925,0.04,0.0225,0.0975,0.2775,0.01,0.45
2CXO J171508.4-395531,YSO,0.61,0.0075,0.045,0.085,0.045,0.0575,0.1375,0.0125,0.61
2CXO J171515.1-401413,CV,0.2925,0.07,0.2925,0.2025,0.0675,0.095,0.1075,0.0775,0.0875
2CXO J171520.1-400249,STAR,0.6625,0.025,0.005,0.035,0.0075,0.0,0.6625,0.0,0.265
2CXO J171520.9-401140,STAR,0.395,0.1525,0.0525,0.0275,0.0125,0.025,0.395,0.0025,0.3325
2CXO J171528.4-400458,YSO,0.63,0.015,0.045,0.0675,0.0275,0.085,0.125,0.005,0.63
2CXO J171545.1-395903,YSO,0.57,0.065,0.0675,0.125,0.03,0.05,0.075,0.0175,0.57
2CXO J171551.4-395450,YSO,0.5575,0.01,0.0775,0.0575,0.0225,0.0775,0.1925,0.005,0.5575
2CXO J171557.2-395924,YSO,0.7525,0.01,0.0475,0.0675,0.0125,0.0425,0.06,0.0075,0.7525
2CXO J171637.2-395139,STAR,0.595,0.015,0.0075,0.025,0.005,0.0,0.595,0.0,0.3525
2CXO J171639.9-395137,YSO,0.3575,0.0225,0.11,0.0625,0.0225,0.1025,0.3125,0.01,0.3575
2CXO J171647.2-395529,YSO,0.48,0.0125,0.1225,0.0775,0.0525,0.0825,0.145,0.0275,0.48
